FISCAL YEAR,FUND CODE,FUND DESCRIPTION,DEPARTMENT DESCRIPTION,DIVISION DESCRIPTION,ACCOUNT DESCRIPTION,BUDGET,ACCOUNT TYPE,ACCOUNT CATEGORY
2019,101,General Fund,Purchasing,Central Services,Repairs and Maintenance.Repairs and Maintenance,6500,Expense,Other Services and Charges
2019,101,General Fund,District Court,Building,Repairs and Maintenance.Repairs and Maintenance,109320,Expense,Other Services and Charges
2019,101,General Fund,Purchasing,Central Services,Rentals.Rentals,1300,Expense,Other Services and Charges
2019,101,General Fund,Police,Records Management,Rentals.Rentals,800,Expense,Other Services and Charges
2019,101,General Fund,City Clerk,City Clerk - Election,Rentals.Rentals,4000,Expense,Other Services and Charges
2019,101,General Fund,Police,Patrol,Rentals.Motor Pool Building,5913,Expense,Other Services and Charges
2019,101,General Fund,Public Works,Other Govt/Agencies(Non Act 51),Motor Pool Rental.Equipment Rental,200,Expense,Other Services and Charges
2019,101,General Fund,Police,Patrol,Motor Pool Rental.Equipment Rental,310625,Expense,Other Services and Charges
2019,101,General Fund,Police,Forensic Science Unit,Motor Pool Rental.Equipment Rental,11490,Expense,Other Services and Charges
2019,101,General Fund,Fire,Fighting,Motor Pool Rental.Equipment Rental,375000,Expense,Other Services and Charges
2019,101,General Fund,Fire,Administration Services,Motor Pool Rental.Equipment Rental,14880,Expense,Other Services and Charges
2019,101,General Fund,Police,Senior Volunteer,Motor Pool Rental.Equipment Rental,6405,Expense,Other Services and Charges
2019,101,General Fund,Police,Building ,Motor Pool Rental.Equipment Rental,3310,Expense,Other Services and Charges
2019,101,General Fund,Police,Administration Services,Motor Pool Rental.Equipment Rental,21500,Expense,Other Services and Charges
2019,101,General Fund,Police,Detective Bureau,Motor Pool Rental.Equipment Rental,61840,Expense,Other Services and Charges
2019,101,General Fund,Facilities,Facilities Maintenance,Motor Pool Rental.Equipment Rental,14600,Expense,Other Services and Charges
2019,101,General Fund,Information Technology,Information Technology,Motor Pool Rental.Equipment Rental,3300,Expense,Other Services and Charges
2019,101,General Fund,Assessor,Assessor,Motor Pool Rental.Equipment Rental,3200,Expense,Other Services and Charges
2019,101,General Fund,City Manager,City Manager,Motor Pool Rental.Equipment Rental,7800,Expense,Other Services and Charges
2019,101,General Fund,Fire,Prevention,Motor Pool Rental.Equipment Rental,6897,Expense,Other Services and Charges
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,Motor Pool Rental.Equipment Rental,2500,Expense,Other Services and Charges
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,Motor Pool Rental.Equipment Maintenance,300,Expense,Other Services and Charges
2019,101,General Fund,Fire,Prevention,Motor Pool Rental.Equipment Maintenance,1000,Expense,Other Services and Charges
2019,101,General Fund,City Manager,City Manager,Motor Pool Rental.Equipment Maintenance,5000,Expense,Other Services and Charges
2019,101,General Fund,Assessor,Assessor,Motor Pool Rental.Equipment Maintenance,300,Expense,Other Services and Charges
2019,101,General Fund,Information Technology,Information Technology,Motor Pool Rental.Equipment Maintenance,600,Expense,Other Services and Charges
2019,101,General Fund,Facilities,Facilities Maintenance,Motor Pool Rental.Equipment Maintenance,3500,Expense,Other Services and Charges
2019,101,General Fund,Police,Detective Bureau,Motor Pool Rental.Equipment Maintenance,10000,Expense,Other Services and Charges
2019,101,General Fund,Police,Administration Services,Motor Pool Rental.Equipment Maintenance,1700,Expense,Other Services and Charges
2019,101,General Fund,Police,Building ,Motor Pool Rental.Equipment Maintenance,2000,Expense,Other Services and Charges
2019,101,General Fund,Police,Senior Volunteer,Motor Pool Rental.Equipment Maintenance,2500,Expense,Other Services and Charges
2019,101,General Fund,Fire,Administration Services,Motor Pool Rental.Equipment Maintenance,1500,Expense,Other Services and Charges
2019,101,General Fund,Fire,Fighting,Motor Pool Rental.Equipment Maintenance,88550,Expense,Other Services and Charges
2019,101,General Fund,Police,Forensic Science Unit,Motor Pool Rental.Equipment Maintenance,3000,Expense,Other Services and Charges
2019,101,General Fund,Police,Patrol,Motor Pool Rental.Equipment Maintenance,190000,Expense,Other Services and Charges
2019,101,General Fund,Public Works,Other Govt/Agencies(Non Act 51),Motor Pool Rental.Equipment Maintenance,300,Expense,Other Services and Charges
2019,101,General Fund,Public Works,Other Govt/Agencies(Non Act 51),Motor Pool Rental.Equipment - Fuel,100,Expense,Other Services and Charges
2019,101,General Fund,Police,Patrol,Motor Pool Rental.Equipment - Fuel,142000,Expense,Other Services and Charges
2019,101,General Fund,Police,Forensic Science Unit,Motor Pool Rental.Equipment - Fuel,3500,Expense,Other Services and Charges
2019,101,General Fund,Fire,Fighting,Motor Pool Rental.Equipment - Fuel,37673,Expense,Other Services and Charges
2019,101,General Fund,Fire,Administration Services,Motor Pool Rental.Equipment - Fuel,2500,Expense,Other Services and Charges
2019,101,General Fund,Police,Senior Volunteer,Motor Pool Rental.Equipment - Fuel,2000,Expense,Other Services and Charges
2019,101,General Fund,Police,Building ,Motor Pool Rental.Equipment - Fuel,1300,Expense,Other Services and Charges
2019,101,General Fund,Police,Administration Services,Motor Pool Rental.Equipment - Fuel,3500,Expense,Other Services and Charges
2019,101,General Fund,Police,Detective Bureau,Motor Pool Rental.Equipment - Fuel,7350,Expense,Other Services and Charges
2019,101,General Fund,Facilities,Facilities Maintenance,Motor Pool Rental.Equipment - Fuel,2000,Expense,Other Services and Charges
2019,101,General Fund,Information Technology,Information Technology,Motor Pool Rental.Equipment - Fuel,500,Expense,Other Services and Charges
2019,101,General Fund,Assessor,Assessor,Motor Pool Rental.Equipment - Fuel,450,Expense,Other Services and Charges
2019,101,General Fund,City Manager,City Manager,Motor Pool Rental.Equipment - Fuel,4700,Expense,Other Services and Charges
2019,101,General Fund,Fire,Prevention,Motor Pool Rental.Equipment - Fuel,1500,Expense,Other Services and Charges
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,Motor Pool Rental.Equipment - Fuel,400,Expense,Other Services and Charges
2019,101,General Fund,Police,Jail,Prisoner Board.Prisoner Board,365692,Expense,Other Services and Charges
2019,101,General Fund,Planning,Planning,WM Regional Planning.WM Regional Planning,4800,Expense,Other Services and Charges
2019,101,General Fund,Finance,Cable TV Commission,Other Services.Other Services,600000,Expense,Other Services and Charges
2019,101,General Fund,Planning,Economic Development,Other Services.Other Services,20000,Expense,Other Services and Charges
2019,101,General Fund,Planning,Planning,Other Services.Other Services,2930,Expense,Other Services and Charges
2019,101,General Fund,Fire,Prevention,Other Services.Other Services,875,Expense,Other Services and Charges
2019,101,General Fund,Police,Senior Volunteer,Other Services.Other Services,1000,Expense,Other Services and Charges
2019,101,General Fund,Police,Communications/Dispatch,Other Services.Other Services,575000,Expense,Other Services and Charges
2019,101,General Fund,Fire,Administration Services,Other Services.Other Services,1400,Expense,Other Services and Charges
2019,101,General Fund,Fire,Fighting,Other Services.Other Services,54400,Expense,Other Services and Charges
2019,101,General Fund,Police,Forensic Science Unit,Other Services.Other Services,2500,Expense,Other Services and Charges
2019,101,General Fund,Finance,Treasurer,Other Services.Other Services,8320,Expense,Other Services and Charges
2019,101,General Fund,Police,Crossing Guard,Other Services.Other Services,77182,Expense,Other Services and Charges
2019,101,General Fund,City Council,City Council - Communication,Other Services.Other Services,50600,Expense,Other Services and Charges
2019,101,General Fund,Police,Patrol,Other Services.Other Services,33120,Expense,Other Services and Charges
2019,101,General Fund,Information Technology,Information Technology,Other Services.Other Services,16500,Expense,Other Services and Charges
2019,101,General Fund,Facilities,Facilities Maintenance,Other Services.Other Services,870,Expense,Other Services and Charges
2019,101,General Fund,Purchasing,Central Services,Other Services.Other Services,4000,Expense,Other Services and Charges
2019,101,General Fund,Police,Detective Bureau,Other Services.Other Services,9500,Expense,Other Services and Charges
2019,101,General Fund,Police,Records Management,Other Services.Other Services,7860,Expense,Other Services and Charges
2019,101,General Fund,Police,Administration Services,Other Services.Other Services,58908,Expense,Other Services and Charges
2019,101,General Fund,Police,Building ,Other Services.Other Services,37275,Expense,Other Services and Charges
2019,101,General Fund,City Manager,City Manager,Other Services.Other Services,15270,Expense,Other Services and Charges
2019,101,General Fund,Finance,Accounting,Other Services.Other Services,22335,Expense,Other Services and Charges
2019,101,General Fund,District Court,District Court,Other Services.Other Services,19200,Expense,Other Services and Charges
2019,101,General Fund,City Council,City Council,Other Services.Other Services,31950,Expense,Other Services and Charges
2019,101,General Fund,Assessor,Assessor,Other Services.Other Services,13145,Expense,Other Services and Charges
2019,101,General Fund,City Clerk,City Clerk - Election,Other Services.Other Services,8500,Expense,Other Services and Charges
2019,101,General Fund,City Clerk,City Clerk,Other Services.Other Services,2500,Expense,Other Services and Charges
2019,101,General Fund,Community Outreach Programs,Community Outreach Programs,Other Services.Other Services,10000,Expense,Other Services and Charges
2019,101,General Fund,Fire,Fighting - Dual Empl. Reserves,Other Services.Other Services,8400,Expense,Other Services and Charges
2019,101,General Fund,Fire,Fighting - Paid on Call,Other Services.Other Services,5500,Expense,Other Services and Charges
2019,101,General Fund,Attorney,Legal Services,Other Services.Other Services,0,Expense,Other Services and Charges
2019,101,General Fund,Facilities,Facilities Maintenance,Other Services.Veterans Memorial Park,500,Expense,Other Services and Charges
2019,101,General Fund,Police,Patrol,Other Services.Police Special Donations,0,Expense,Other Services and Charges
2019,101,General Fund,Police,OHSP - Strategic Traffic Enf ,Other Services.Grand Rapids Distribution,0,Expense,Other Services and Charges
2019,101,General Fund,Police,OHSP - Strategic Traffic Enf ,Other Services.Grandville Distribtution,0,Expense,Other Services and Charges
2019,101,General Fund,Police,OHSP - Strategic Traffic Enf ,Other Services.Kentwood Distribution,0,Expense,Other Services and Charges
2019,101,General Fund,Police,OHSP - Strategic Traffic Enf ,Other Services.Walker Distribution,0,Expense,Other Services and Charges
2019,101,General Fund,Police,OHSP - Strategic Traffic Enf ,Other Services.Kent County Distribution,0,Expense,Other Services and Charges
2019,101,General Fund,Police,Patrol,Impounds and Towing.Impounds and Towing,3000,Expense,Other Services and Charges
2019,101,General Fund,Facilities,Facilities Maintenance,Project Costs.Project Costs,2520,Expense,Other Services and Charges
2019,101,General Fund,Police,Forensic Science Unit,Capital Outlay.State Grant Funds ,0,Expense,Capital Outlay
2019,101,General Fund,Fire,Administration Services,Capital Outlay.Computer System,0,Expense,Capital Outlay
2019,101,General Fund,Police,Building ,Capital Outlay.Capital Outlay,0,Expense,Capital Outlay
2019,101,General Fund,District Court,Building,Capital Outlay.Capital Outlay,87000,Expense,Capital Outlay
2019,101,General Fund,Police,Detective Bureau,Capital Outlay.Capital Outlay,22900,Expense,Capital Outlay
2019,101,General Fund,Fire,Fighting,Capital Outlay.Capital Outlay,0,Expense,Capital Outlay
2019,101,General Fund,Fire,Buildings,Capital Outlay.Capital Outlay,0,Expense,Capital Outlay
2019,101,General Fund,Police,Patrol,Capital Outlay.Video Camera,27500,Expense,Capital Outlay
2019,101,General Fund,District Court,District Court,Capital Outlay.Equipment,0,Expense,Capital Outlay
2019,101,General Fund,Information Technology,Information Technology,Capital Outlay.Computer Equipment,47000,Expense,Capital Outlay
2019,101,General Fund,,,Property Taxes.Property Taxes,10035000,Revenue,Taxes
2019,101,General Fund,,,Delinquent Tax Revenue.Delinquent Tax Revenue,-100400,Revenue,Taxes
2019,101,General Fund,,,Property Taxes.Serv Charge In Lieu Of Tax,302230,Revenue,Taxes
2019,101,General Fund,,,Property Taxes.Act 425 Serv Chg In Lieu of Tax,15000,Revenue,Taxes
2019,101,General Fund,,,Property Taxes.Act 425 Payments to Other Govern,-27000,Revenue,Taxes
2019,101,General Fund,,,Property Taxes.Trailer Fees,3500,Revenue,Taxes
2019,101,General Fund,,,Property Taxes.IFT Revenue,180800,Revenue,Taxes
2019,101,General Fund,,,Property Tax.PPT Reimbursement-LCSA,242264,Revenue,Taxes
2019,101,General Fund,,,Property Taxes.Interest & Penalties,70000,Revenue,Taxes
2019,101,General Fund,,,Property Taxes.Administration Fees,950000,Revenue,Taxes
2019,101,General Fund,,,Licenses.Licenses,95000,Revenue,Licenses and Permits
2019,101,General Fund,,,CATV Fees.CATV Fees,1200000,Revenue,Licenses and Permits
2019,101,General Fund,,,Federal Grants.OHSP - Strategic Traffic Enf,0,Revenue,Federal Grants
2019,101,General Fund,,,Federal Grants.Bulletproof Vest Grant,0,Revenue,Federal Grants
2019,101,General Fund,,,Federal Grants.FEMA Grant,0,Revenue,Federal Grants
2019,101,General Fund,,,State Grants.State/County  Misc. Grant Reimb,0,Revenue,State Grants
2019,101,General Fund,,,State Grants.St. GR. Dist. Judge Salary,91450,Revenue,State Grants
2019,101,General Fund,,,State Grants.Auto Theft Prevention Authority,68000,Revenue,State Grants
2019,101,General Fund,,,State Grants.Dst Ct Drnk Caseld Asst,10000,Revenue,State Grants
2019,101,General Fund,,,State Grants.State Shared Revenue,6030273,Revenue,State Grants
2019,101,General Fund,,,State Grants.EVIP (Econ Vitality Incentive),627126,Revenue,State Grants
2019,101,General Fund,,,State Grants.Liquor Licenses,29000,Revenue,State Grants
2019,101,General Fund,,,Contributions from Local Units.Other Govt Units Share Elections,3500,Revenue,Contributions from Local Units
2019,101,General Fund,,,Contributions from Local Units.School Share Cross Guards,32000,Revenue,Contributions from Local Units
2019,101,General Fund,,,Contributions from Local Units.School Share Liason Officers,209353,Revenue,Contributions from Local Units
2019,101,General Fund,,,Contributions from Local Units.School Propriet Security,2600,Revenue,Contributions from Local Units
2019,101,General Fund,,,Contributions from Local Units.Kentwood Street Maint,1500,Revenue,Contributions from Local Units
2019,101,General Fund,,,Contributions from Local Units.Other Goverment Agencies,4720,Revenue,Contributions from Local Units
2019,101,General Fund,,,Contributions from Local Units.Kent County Dispatch Authority,14400,Revenue,Contributions from Local Units
2019,101,General Fund,,,IFT Application Fees.IFT Application Fees,10000,Revenue,Charges for Service
2019,101,General Fund,,,Planning Fees.Planning Fees,20000,Revenue,Charges for Service
2019,101,General Fund,,,Duplicating Services.Duplicating Services,19500,Revenue,Charges for Service
2019,101,General Fund,,,Inter Fund Services.Inter Fund Services,3612000,Revenue,Charges for Service
2019,101,General Fund,,,Fees.Forensics-latnt fngrprt&drg tsts,4000,Revenue,Charges for Service
2019,101,General Fund,,,Fees.Impound Income,1200,Revenue,Charges for Service
2019,101,General Fund,,,Fees.Fire False Alarm,2000,Revenue,Charges for Service
2019,101,General Fund,,,Fees.PD Traffic Control,2500,Revenue,Charges for Service
2019,101,General Fund,,,District Court Income.District Court Income,1700000,Revenue,Fines and Forfeitures
2019,101,General Fund,,,Interest on Investments.Interest on Investments,0,Revenue,Interest and Rentals
2019,101,General Fund,,,Property Rental Income.Property Rental Income,59770,Revenue,Interest and Rentals
2019,101,General Fund,,,Property Rental Income.PD Pistol Range Lease,16000,Revenue,Interest and Rentals
2019,101,General Fund,,,Income/Donations.Income/Donations,0,Revenue,Other Revenues
2019,101,General Fund,,,Income/Donations.Fire Dept Program,0,Revenue,Other Revenues
2019,101,General Fund,,,Income/Donations.Vets Mem Pk,900,Revenue,Other Revenues
2019,101,General Fund,,,Income/Donations.Police Special,0,Revenue,Other Revenues
2019,101,General Fund,,,Reimbursements.Reimbursements,20000,Revenue,Other Revenues
2019,101,General Fund,,,Reimbursements.PD OUIL/OUID Cost Teim.,23000,Revenue,Other Revenues
2019,101,General Fund,,,Reimbursements.Federal Government,4500,Revenue,Other Revenues
2019,101,General Fund,,,Reimbursements.Interdepartmental,4000,Revenue,Other Revenues
2019,101,General Fund,,,Reimbursements.REGIS - Electric,1500,Revenue,Other Revenues
2019,101,General Fund,,,Reimbursements.Legal Internal,0,Revenue,Other Revenues
2019,101,General Fund,,,Miscellaneous Income.Miscellaneous Income,30000,Revenue,Other Revenues
2019,101,General Fund,,,Cash Drawer.Over & Short,0,Revenue,Other Revenues
2019,101,General Fund,,,Transfer.from Public Safety Fund,2656981,Revenue,Other Financing Sources
2019,101,General Fund,,,Transfer.from Fire Fund,1604856,Revenue,Other Financing Sources
2019,101,General Fund,,,Transfer.from Police Fund,2673231,Revenue,Other Financing Sources
2019,101,General Fund,,,Transfer.from DDA,25000,Revenue,Other Financing Sources
2019,101,General Fund,,,Transfer.from Brownfield Redevelopment ,25000,Revenue,Other Financing Sources
2019,202,Major Streets Fund,Public Works,Street Maintenance,Salaries.Salaries,200157,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Traffic Services,Salaries.Salaries,266555,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Salaries.Salaries,82156,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Salaries - Temporary.Salaries - Temporary,0,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Traffic Services,Salaries - Temporary.Salaries - Temporary,20000,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Street Maintenance,Salaries - Temporary.Salaries - Temporary,19000,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Street Maintenance,Salaries - Overtime.Salaries - Overtime,11250,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Traffic Services,Salaries - Overtime.Salaries - Overtime,10500,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Salaries - Overtime.Salaries - Overtime,48050,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,F.I.C.A..F.I.C.A.,9978,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Traffic Services,F.I.C.A..F.I.C.A.,22922,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Street Maintenance,F.I.C.A..F.I.C.A.,17869,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Street Maintenance,Hospitalization Insurance.Hospitalization Insurance,85994,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Traffic Services,Hospitalization Insurance.Hospitalization Insurance,85899,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Hospitalization Insurance.Hospitalization Insurance,3280,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Life Insurance.Life Insurance,114,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Traffic Services,Life Insurance.Life Insurance,368,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Street Maintenance,Life Insurance.Life Insurance,277,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Street Maintenance,Pension.Pension,88637,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Traffic Services,Pension.Pension,115603,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Pension.Pension,54208,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Traffic Services,Pension.DC Plan,1,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Pension.DC Plan,1,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Street Maintenance,Pension.DC Plan,2,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Street Maintenance,Pension.Retiree Health - DC Plan,2460,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Pension.Retiree Health - DC Plan,7,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Traffic Services,Pension.Retiree Health - DC Plan,2814,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Workers Comp. Insurance.Work Comp. Insurance,6956,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Traffic Services,Workers Comp. Insurance.Work Comp. Insurance,17879,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Street Maintenance,Workers Comp. Insurance.Work Comp. Insurance,13806,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Street Maintenance,CIP and Longevity.CIP and Longevity,3167,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Traffic Services,CIP and Longevity.CIP and Longevity,2563,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,CIP and Longevity.CIP and Longevity,219,Expense,Personal Services
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Operating Supplies.Operating Supplies,249200,Expense,Supplies
2019,202,Major Streets Fund,Public Works,Street Maintenance,Uniforms.Uniforms,4750,Expense,Supplies
2019,202,Major Streets Fund,Public Works,Traffic Services,Uniforms.Uniforms,1200,Expense,Supplies
2019,202,Major Streets Fund,Public Works,Traffic Services,Tools and Supplies.Tools and Supplies,1400,Expense,Supplies
2019,202,Major Streets Fund,Public Works,Traffic Services,Maintenance Supplies.Maintenance Supplies,161700,Expense,Supplies
2019,202,Major Streets Fund,Public Works,Street Maintenance,Maintenance Supplies.Maintenance Supplies,75000,Expense,Supplies
2019,202,Major Streets Fund,Public Works,Street Maintenance,Professional Services.Professional Services,23000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Professional Services.Professional Services,6000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Administration,Administrative Fee.Administrative Fee,289616,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Administration,Administrative Fee.Engineering Allocation,103149,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Administration,Administrative Fee.Adm Alloc PW Adm GenFnd,153550,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Geographic & IT Information Services.Geographic & IT Info Services,25140,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Communications.Cellular Phones,1500,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Communications.Cellular Phones,3000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Communications.Cellular Phones,3256,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Travel and Training.Travel and Training,3000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Travel and Training.Travel and Training,4000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Travel and Training.Travel and Training,2500,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Insurance.Liability,4820,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Insurance.Liability,1805,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Insurance.Liability,6290,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Public Utilities.Public Utilities,25750,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Public Utilities.Public Utilities,47600,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Repairs and Maintenance.Repairs and Maintenance,6000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Repairs and Maintenance.Repairs and Maintenance,100000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Repairs and Maintenance.Repairs and Maintenance,357000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Rentals.Rentals,2000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Rentals.Motor Pool Building,19009,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Rentals.Motor Pool Building,22091,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Rentals.Motor Pool Building,33208,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Motor Pool Rental.Equipment Rental,175000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Motor Pool Rental.Equipment Rental,130000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Motor Pool Rental.Equipment Rental,69000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Motor Pool Rental.Equipment Maintenance,22000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Motor Pool Rental.Equipment Maintenance,130000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Motor Pool Rental.Equipment Maintenance,60000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Motor Pool Rental.Equipment - Fuel,20000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Motor Pool Rental.Equipment - Fuel,20000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Motor Pool Rental.Equipment - Fuel,10000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Motor Pool Rental.Equipment - Radio System,1000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Motor Pool Rental.Equipment - Radio System,1830,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Traffic Services,Other Services.Other Services,5000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Winter Maintenance,Other Services.Other Services,2000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Administration,Other Services.Other Services,38000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Other Services.Other Services,4000,Expense,Other Services and Charges
2019,202,Major Streets Fund,Public Works,Street Maintenance,Capital Outlay.Storm Sewer,0,Expense,Capital Outlay
2019,202,Major Streets Fund,Public Works,Street Maintenance,Capital Outlay.Major Street Construction,0,Expense,Capital Outlay
2019,202,Major Streets Fund,Public Works,Street Maintenance,Capital Outlay.Street Resurfacing,8200000,Expense,Capital Outlay
2019,202,Major Streets Fund,Public Works,Transfers to Local Streets/CIP,Transfers.Local Street,0,Expense,Transfers Out
2019,202,Major Streets Fund,,,Street Permits.Street Permits,25000,Revenue,Licenses and Permits
2019,202,Major Streets Fund,,,Street Permits.ROW Rev,250000,Revenue,Licenses and Permits
2019,202,Major Streets Fund,,,State Grants.M.V.H.F Revenue,5600000,Revenue,State Grants
2019,202,Major Streets Fund,,,Interest on Investments.Interest on Investments,13000,Revenue,Interest and Rentals
2019,202,Major Streets Fund,,,Reimbursements.Reimbursements,5000,Revenue,Other Revenues
2019,202,Major Streets Fund,,,Reimbursements.Interdepartmental,20000,Revenue,Other Revenues
2019,202,Major Streets Fund,,,Reimbursements Accident.Reimbursements Accident,4000,Revenue,Other Revenues
2019,202,Major Streets Fund,,,Miscellaneous Income.Miscellaneous Income,3000,Revenue,Other Revenues
2019,202,Major Streets Fund,,,Transfer.From Cap Impr,4200000,Revenue,Other Financing Sources
2019,203,Local Streets Fund,Public Works,Street Maintenance,Salaries.Salaries,185157,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Traffic Services,Salaries.Salaries,141554,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Winter Maintenance,Salaries.Salaries,72156,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Winter Maintenance,Salaries - Temporary.Salaries - Temporary,0,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Traffic Services,Salaries - Temporary.Salaries - Temporary,10000,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Street Maintenance,Salaries - Temporary.Salaries - Temporary,7000,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Street Maintenance,Salaries - Overtime.Salaries - Overtime,11250,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Traffic Services,Salaries - Overtime.Salaries - Overtime,1000,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Winter Maintenance,Salaries - Overtime.Salaries - Overtime,40900,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Winter Maintenance,F.I.C.A..F.I.C.A.,8666,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Traffic Services,F.I.C.A..F.I.C.A.,11742,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Street Maintenance,F.I.C.A..F.I.C.A.,16008,Expense,Personal Services
2019,203,Local Streets Fund,Public Works,Street Maintenance,Hospitalization Insurance.Hospitalization Insurance,65659,Expense,Personal Services
