Fiscal Year,Department,Fund Code,Account Type,Account Category,Amount,,GL_Account_ID,GL_Account_Delimited,Column1,Column6,GL_Organization_Scrunched,GL_Organization_Description_Delimited,GL_Base_and_Detail_Scrunched,Account Description,Column3,Fund Description,Department Code,Column2,Division Code,Division,Budget_Type,Budget_Level,GL_Account_Status,Paying_Fund,Receipting_Fund,CurrentFiscalYear,Fund_Category,Fund_Category_Sequence,Fund_Type,Fund_Type_Sequence,Column4,Column5,Account_Class_Level_1_Sequence
FY19,Police,1010,Expense,Other Services and Charges,1700,,1584,101-305-30500-947.200,,,10130530500,General Fund-Police-Administration Services,947200,Motor Pool Rental.Equipment Maintenance,,General Fund,305,,30500,Administration Services,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,3500,,1585,101-305-30500-947.300,,,10130530500,General Fund-Police-Administration Services,947300,Motor Pool Rental.Equipment - Fuel,,General Fund,305,,30500,Administration Services,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,58908,,1587,101-305-30500-956.000,,,10130530500,General Fund-Police-Administration Services,956000,Other Services.Other Services,,General Fund,305,,30500,Administration Services,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Personal Services,45118,,1601,101-305-30610-706.000,,,10130530610,General Fund-Police-Building ,706000,Salaries.Salaries,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,2000,,1603,101-305-30610-708.000,,,10130530610,General Fund-Police-Building ,708000,Salaries - Overtime.Salaries - Overtime,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,3606,,1604,101-305-30610-715.000,,,10130530610,General Fund-Police-Building ,715000,F.I.C.A..F.I.C.A.,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,21865,,1606,101-305-30610-716.000,,,10130530610,General Fund-Police-Building ,716000,Hospitalization Insurance.Hospitalization Insurance,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,63,,1607,101-305-30610-717.000,,,10130530610,General Fund-Police-Building ,717000,Life Insurance.Life Insurance,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,9697,,1608,101-305-30610-718.000,,,10130530610,General Fund-Police-Building ,718000,Pension.Pension,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,3610,,12940,101-305-30610-718.100,,,10130530610,General Fund-Police-Building ,718100,Pension.DC Plan,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,1772,,12941,101-305-30610-718.200,,,10130530610,General Fund-Police-Building ,718200,Pension.Retiree Health - DC Plan,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,1724,,1609,101-305-30610-719.000,,,10130530610,General Fund-Police-Building ,719000,Workers Comp. Insurance.Work Comp. Insurance,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Supplies,13700,,1612,101-305-30610-740.000,,,10130530610,General Fund-Police-Building ,740000,Operating Supplies.Operating Supplies,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Police,1010,Expense,Other Services and Charges,17365,,1614,101-305-30610-850.000,,,10130530610,General Fund-Police-Building ,850000,Communications.Communications,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,993,,1616,101-305-30610-910.000,,,10130530610,General Fund-Police-Building ,910000,Insurance.Liability,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,2970,,1617,101-305-30610-910.100,,,10130530610,General Fund-Police-Building ,910100,Insurance.Property and Bonds,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,135406,,4841,101-305-30610-920.000,,,10130530610,General Fund-Police-Building ,920000,Public Utilities.Public Utilities,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,93434,,1619,101-305-30610-930.000,,,10130530610,General Fund-Police-Building ,930000,Repairs and Maintenance.Repairs and Maintenance,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,3310,,1625,101-305-30610-947.100,,,10130530610,General Fund-Police-Building ,947100,Motor Pool Rental.Equipment Rental,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,2000,,1626,101-305-30610-947.200,,,10130530610,General Fund-Police-Building ,947200,Motor Pool Rental.Equipment Maintenance,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,1300,,1627,101-305-30610-947.300,,,10130530610,General Fund-Police-Building ,947300,Motor Pool Rental.Equipment - Fuel,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,37275,,1629,101-305-30610-956.000,,,10130530610,General Fund-Police-Building ,956000,Other Services.Other Services,,General Fund,305,,30610,Building ,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Personal Services,215828,,1631,101-305-30700-706.000,,,10130530700,General Fund-Police-Records Management,706000,Salaries.Salaries,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,1500,,1635,101-305-30700-708.000,,,10130530700,General Fund-Police-Records Management,708000,Salaries - Overtime.Salaries - Overtime,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,16647,,1636,101-305-30700-715.000,,,10130530700,General Fund-Police-Records Management,715000,F.I.C.A..F.I.C.A.,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,82320,,1638,101-305-30700-716.000,,,10130530700,General Fund-Police-Records Management,716000,Hospitalization Insurance.Hospitalization Insurance,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,293,,1639,101-305-30700-717.000,,,10130530700,General Fund-Police-Records Management,717000,Life Insurance.Life Insurance,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,43331,,1640,101-305-30700-718.000,,,10130530700,General Fund-Police-Records Management,718000,Pension.Pension,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,16935,,10207,101-305-30700-718.100,,,10130530700,General Fund-Police-Records Management,718100,Pension.DC Plan,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,9931,,10208,101-305-30700-718.200,,,10130530700,General Fund-Police-Records Management,718200,Pension.Retiree Health - DC Plan,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,301,,1641,101-305-30700-719.000,,,10130530700,General Fund-Police-Records Management,719000,Workers Comp. Insurance.Work Comp. Insurance,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,270,,1642,101-305-30700-721.000,,,10130530700,General Fund-Police-Records Management,721000,CIP and Longevity.CIP and Longevity,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Supplies,2200,,1644,101-305-30700-727.000,,,10130530700,General Fund-Police-Records Management,727000,Office Supplies.Office Supplies,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Police,1010,Expense,Other Services and Charges,4657,,1650,101-305-30700-910.000,,,10130530700,General Fund-Police-Records Management,910000,Insurance.Liability,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,1500,,1652,101-305-30700-930.000,,,10130530700,General Fund-Police-Records Management,930000,Repairs and Maintenance.Repairs and Maintenance,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,800,,1654,101-305-30700-940.000,,,10130530700,General Fund-Police-Records Management,940000,Rentals.Rentals,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,7860,,1660,101-305-30700-956.000,,,10130530700,General Fund-Police-Records Management,956000,Other Services.Other Services,,General Fund,305,,30700,Records Management,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Personal Services,1348519,,1662,101-305-31000-705.000,,,10130531000,General Fund-Police-Detective Bureau,705000,Salaries - Uniform.Salaries - Uniform,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,49737,,1663,101-305-31000-706.000,,,10130531000,General Fund-Police-Detective Bureau,706000,Salaries.Salaries,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,1500,,1665,101-305-31000-708.000,,,10130531000,General Fund-Police-Detective Bureau,708000,Salaries - Overtime.Salaries - Overtime,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,100000,,1667,101-305-31000-709.000,,,10130531000,General Fund-Police-Detective Bureau,709000,Salaries - Uniform O.T..Salaries - Uniform O.T.,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,115925,,1668,101-305-31000-715.000,,,10130531000,General Fund-Police-Detective Bureau,715000,F.I.C.A..F.I.C.A.,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,360082,,1670,101-305-31000-716.000,,,10130531000,General Fund-Police-Detective Bureau,716000,Hospitalization Insurance.Hospitalization Insurance,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,1880,,1671,101-305-31000-717.000,,,10130531000,General Fund-Police-Detective Bureau,717000,Life Insurance.Life Insurance,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,461772,,1672,101-305-31000-718.000,,,10130531000,General Fund-Police-Detective Bureau,718000,Pension.Pension,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,18109,,8962,101-305-31000-718.100,,,10130531000,General Fund-Police-Detective Bureau,718100,Pension.DC Plan,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,4867,,8963,101-305-31000-718.200,,,10130531000,General Fund-Police-Detective Bureau,718200,Pension.Retiree Health - DC Plan,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,29508,,1673,101-305-31000-719.000,,,10130531000,General Fund-Police-Detective Bureau,719000,Workers Comp. Insurance.Work Comp. Insurance,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,15592,,1674,101-305-31000-721.000,,,10130531000,General Fund-Police-Detective Bureau,721000,CIP and Longevity.CIP and Longevity,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Supplies,7000,,1678,101-305-31000-740.000,,,10130531000,General Fund-Police-Detective Bureau,740000,Operating Supplies.Operating Supplies,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Police,1010,Expense,Supplies,5000,,1680,101-305-31000-744.000,,,10130531000,General Fund-Police-Detective Bureau,744000,Uniforms.Uniforms,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Police,1010,Expense,Other Services and Charges,29969,,1688,101-305-31000-910.000,,,10130531000,General Fund-Police-Detective Bureau,910000,Insurance.Liability,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,5000,,1690,101-305-31000-930.000,,,10130531000,General Fund-Police-Detective Bureau,930000,Repairs and Maintenance.Repairs and Maintenance,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,61840,,1695,101-305-31000-947.100,,,10130531000,General Fund-Police-Detective Bureau,947100,Motor Pool Rental.Equipment Rental,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,10000,,1696,101-305-31000-947.200,,,10130531000,General Fund-Police-Detective Bureau,947200,Motor Pool Rental.Equipment Maintenance,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,7350,,1697,101-305-31000-947.300,,,10130531000,General Fund-Police-Detective Bureau,947300,Motor Pool Rental.Equipment - Fuel,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,9500,,1699,101-305-31000-956.000,,,10130531000,General Fund-Police-Detective Bureau,956000,Other Services.Other Services,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Capital Outlay,22900,,12950,101-305-31000-975.000,,,10130531000,General Fund-Police-Detective Bureau,975000,Capital Outlay.Capital Outlay,,General Fund,305,,31000,Detective Bureau,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,120
FY19,Police,1010,Expense,Personal Services,374074,,1710,101-305-31200-706.000,,,10130531200,General Fund-Police-Forensic Science Unit,706000,Salaries.Salaries,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,15000,,1714,101-305-31200-708.000,,,10130531200,General Fund-Police-Forensic Science Unit,708000,Salaries - Overtime.Salaries - Overtime,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,29991,,1718,101-305-31200-715.000,,,10130531200,General Fund-Police-Forensic Science Unit,715000,F.I.C.A..F.I.C.A.,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,111248,,1720,101-305-31200-716.000,,,10130531200,General Fund-Police-Forensic Science Unit,716000,Hospitalization Insurance.Hospitalization Insurance,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,514,,1722,101-305-31200-717.000,,,10130531200,General Fund-Police-Forensic Science Unit,717000,Life Insurance.Life Insurance,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,78879,,1724,101-305-31200-718.000,,,10130531200,General Fund-Police-Forensic Science Unit,718000,Pension.Pension,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,23163,,10528,101-305-31200-718.100,,,10130531200,General Fund-Police-Forensic Science Unit,718100,Pension.DC Plan,,General Fund,305,,31200,Forensic Science Unit,Organization,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,9931,,10529,101-305-31200-718.200,,,10130531200,General Fund-Police-Forensic Science Unit,718200,Pension.Retiree Health - DC Plan,,General Fund,305,,31200,Forensic Science Unit,Organization,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,7713,,1726,101-305-31200-719.000,,,10130531200,General Fund-Police-Forensic Science Unit,719000,Workers Comp. Insurance.Work Comp. Insurance,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,2963,,1728,101-305-31200-721.000,,,10130531200,General Fund-Police-Forensic Science Unit,721000,CIP and Longevity.CIP and Longevity,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Supplies,11000,,1732,101-305-31200-740.000,,,10130531200,General Fund-Police-Forensic Science Unit,740000,Operating Supplies.Operating Supplies,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Police,1010,Expense,Supplies,1800,,1734,101-305-31200-744.000,,,10130531200,General Fund-Police-Forensic Science Unit,744000,Uniforms.Uniforms,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Police,1010,Expense,Other Services and Charges,8173,,1736,101-305-31200-910.000,,,10130531200,General Fund-Police-Forensic Science Unit,910000,Insurance.Liability,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,9400,,1738,101-305-31200-930.000,,,10130531200,General Fund-Police-Forensic Science Unit,930000,Repairs and Maintenance.Repairs and Maintenance,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,11490,,1743,101-305-31200-947.100,,,10130531200,General Fund-Police-Forensic Science Unit,947100,Motor Pool Rental.Equipment Rental,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,3000,,1744,101-305-31200-947.200,,,10130531200,General Fund-Police-Forensic Science Unit,947200,Motor Pool Rental.Equipment Maintenance,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,3500,,1745,101-305-31200-947.300,,,10130531200,General Fund-Police-Forensic Science Unit,947300,Motor Pool Rental.Equipment - Fuel,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Other Services and Charges,2500,,1747,101-305-31200-956.000,,,10130531200,General Fund-Police-Forensic Science Unit,956000,Other Services.Other Services,,General Fund,305,,31200,Forensic Science Unit,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,60
FY19,Police,1010,Expense,Personal Services,4500746,,1751,101-305-31500-705.000,,,10130531500,General Fund-Police-Patrol,705000,Salaries - Uniform.Salaries - Uniform,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,87360,,1755,101-305-31500-707.000,,,10130531500,General Fund-Police-Patrol,707000,Salaries - Temporary.Salaries - Temporary,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,415000,,1759,101-305-31500-709.000,,,10130531500,General Fund-Police-Patrol,709000,Salaries - Uniform O.T..Salaries - Uniform O.T.,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,385195,,1761,101-305-31500-715.000,,,10130531500,General Fund-Police-Patrol,715000,F.I.C.A..F.I.C.A.,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,1053859,,1763,101-305-31500-716.000,,,10130531500,General Fund-Police-Patrol,716000,Hospitalization Insurance.Hospitalization Insurance,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,6119,,1765,101-305-31500-717.000,,,10130531500,General Fund-Police-Patrol,717000,Life Insurance.Life Insurance,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,1308462,,1767,101-305-31500-718.000,,,10130531500,General Fund-Police-Patrol,718000,Pension.Pension,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,181007,,8198,101-305-31500-718.100,,,10130531500,General Fund-Police-Patrol,718100,Pension.DC Plan,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,83602,,8199,101-305-31500-718.200,,,10130531500,General Fund-Police-Patrol,718200,Pension.Retiree Health - DC Plan,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,100864,,1769,101-305-31500-719.000,,,10130531500,General Fund-Police-Patrol,719000,Workers Comp. Insurance.Work Comp. Insurance,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Personal Services,32100,,1771,101-305-31500-721.000,,,10130531500,General Fund-Police-Patrol,721000,CIP and Longevity.CIP and Longevity,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,10
FY19,Police,1010,Expense,Supplies,47600,,1775,101-305-31500-740.000,,,10130531500,General Fund-Police-Patrol,740000,Operating Supplies.Operating Supplies,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
FY19,Police,1010,Expense,Supplies,40000,,1777,101-305-31500-744.000,,,10130531500,General Fund-Police-Patrol,744000,Uniforms.Uniforms,,General Fund,305,,31500,Patrol,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,,,30
