FISCAL YEAR,GL_Organization_Scrunched,GL_Level_1,FUND DESCRIPTION,GL_Level_2,DEPARTMENT DESCRIPTION,GL_Level_3,ACTIVITY DESCRIPTION,GL_Base_and_Detail_Scrunched,ACCOUNT DESCRIPTION,GL_Account_ID,GL_Account_Delimited,Budget,Amendments,TOTAL BUDGET,Prior_Year_Budget,Prior_year_Ammendments,PRIOR YEAR TOTAL BUDGET,Budget_Type,Budget_Level,GL_Account_Status,Paying_Fund,Receipting_Fund,CurrentFiscalYear,Fund_Category,Fund_Category_Sequence,Fund_Type,Fund_Type_Sequence,Organization_Function,Organization_Function_Sequence,ACCOUNT TYPE,ACCOUNT CATEGORY
2019,10126726700,101,General Fund,267,Facilities,26700,Facilities Maintenance,719000,Workers Comp. Insurance.Work Comp. Insurance,1519,101-267-26700-719.000,2161,0,2161,2651,0,2651,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10130530500,101,General Fund,305,Police,30500,Administration Services,719000,Workers Comp. Insurance.Work Comp. Insurance,1568,101-305-30500-719.000,18250,0,18250,18259,0,18259,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530610,101,General Fund,305,Police,30610,Building ,719000,Workers Comp. Insurance.Work Comp. Insurance,1609,101-305-30610-719.000,1724,0,1724,1754,0,1754,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531000,101,General Fund,305,Police,31000,Detective Bureau,719000,Workers Comp. Insurance.Work Comp. Insurance,1673,101-305-31000-719.000,29508,0,29508,28444.91,0,28444.91,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530700,101,General Fund,305,Police,30700,Records Management,719000,Workers Comp. Insurance.Work Comp. Insurance,1641,101-305-30700-719.000,301,0,301,307.32,0,307.32,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133733900,101,General Fund,337,Fire,33900,Fighting,719000,Workers Comp. Insurance.Work Comp. Insurance,1968,101-337-33900-719.000,114065,0,114065,114473,0,114473,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133733700,101,General Fund,337,Fire,33700,Administration Services,719000,Workers Comp. Insurance.Work Comp. Insurance,1912,101-337-33700-719.000,10382,0,10382,10155,0,10155,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10120125300,101,General Fund,201,Finance,25300,Treasurer,719000,Workers Comp. Insurance.Work Comp. Insurance,1441,101-201-25300-719.000,280,0,280,302,0,302,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10130531200,101,General Fund,305,Police,31200,Forensic Science Unit,719000,Workers Comp. Insurance.Work Comp. Insurance,1726,101-305-31200-719.000,7713,0,7713,7545.93,0,7545.93,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531500,101,General Fund,305,Police,31500,Patrol,719000,Workers Comp. Insurance.Work Comp. Insurance,1769,101-305-31500-719.000,100864,0,100864,97925.09,0,97925.09,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531506,101,General Fund,305,Police,31506,OHSP - Strategic Traffic Enf ,719000,Workers Comp. Insurance.Work Comp. Insurance,11027,101-305-31506-719.000,0,484.24,484.24,0,1442.14,1442.14,Organization,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133733901,101,General Fund,337,Fire,33901,Fighting - Dual Empl. Reserves,719000,Workers Comp. Insurance.Work Comp. Insurance,10734,101-337-33901-719.000,6153,0,6153,8829,0,8829,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133733902,101,General Fund,337,Fire,33902,Fighting - Paid on Call,719000,Workers Comp. Insurance.Work Comp. Insurance,11887,101-337-33902-719.000,7013,0,7013,8135,0,8135,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10121021000,101,General Fund,210,Attorney,21000,Legal Services,719000,Workers Comp. Insurance.Work Comp. Insurance,13074,101-210-21000-719.000,0,3180,3180,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10130531500,101,General Fund,305,Police,31500,Patrol,721000,CIP and Longevity.CIP and Longevity,1771,101-305-31500-721.000,32100,0,32100,29600,0,29600,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531200,101,General Fund,305,Police,31200,Forensic Science Unit,721000,CIP and Longevity.CIP and Longevity,1728,101-305-31200-721.000,2963,0,2963,2740,0,2740,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10120125300,101,General Fund,201,Finance,25300,Treasurer,721000,CIP and Longevity.CIP and Longevity,1442,101-201-25300-721.000,2666,0,2666,3564,0,3564,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10133733700,101,General Fund,337,Fire,33700,Administration Services,721000,CIP and Longevity.CIP and Longevity,1914,101-337-33700-721.000,180,0,180,120,0,120,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10133733900,101,General Fund,337,Fire,33900,Fighting,721000,CIP and Longevity.CIP and Longevity,1970,101-337-33900-721.000,11200,0,11200,12800,0,12800,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530700,101,General Fund,305,Police,30700,Records Management,721000,CIP and Longevity.CIP and Longevity,1642,101-305-30700-721.000,270,0,270,1839,0,1839,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130531000,101,General Fund,305,Police,31000,Detective Bureau,721000,CIP and Longevity.CIP and Longevity,1674,101-305-31000-721.000,15592,0,15592,12868,0,12868,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10130530500,101,General Fund,305,Police,30500,Administration Services,721000,CIP and Longevity.CIP and Longevity,1569,101-305-30500-721.000,7763,0,7763,7249,0,7249,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10126726700,101,General Fund,267,Facilities,26700,Facilities Maintenance,721000,CIP and Longevity.CIP and Longevity,1521,101-267-26700-721.000,1463,0,1463,1625,0,1625,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10125825800,101,General Fund,258,Information Technology,25800,Information Technology,721000,CIP and Longevity.CIP and Longevity,1472,101-258-25800-721.000,7303,0,7303,7121,0,7121,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10121521500,101,General Fund,215,City Clerk,21500,City Clerk,721000,CIP and Longevity.CIP and Longevity,1287,101-215-21500-721.000,4760,0,4760,4634,0,4634,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10120920900,101,General Fund,209,Assessor,20900,Assessor,721000,CIP and Longevity.CIP and Longevity,1241,101-209-20900-721.000,6967,0,6967,5733,0,5733,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10113615100,101,General Fund,136,District Court,15100,District Court - Probation,721000,CIP and Longevity.CIP and Longevity,1115,101-136-15100-721.000,3260,0,3260,4108,0,4108,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10113613600,101,General Fund,136,District Court,13600,District Court,721000,CIP and Longevity.CIP and Longevity,1076,101-136-13600-721.000,13796,0,13796,13388,0,13388,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10120120100,101,General Fund,201,Finance,20100,Accounting,721000,CIP and Longevity.CIP and Longevity,1197,101-201-20100-721.000,7549,0,7549,6474,0,6474,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10117217200,101,General Fund,172,City Manager,17200,City Manager,721000,CIP and Longevity.CIP and Longevity,1137,101-172-17200-721.000,7109,0,7109,6947,0,6947,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10133734100,101,General Fund,337,Fire,34100,Prevention,721000,CIP and Longevity.CIP and Longevity,2019,101-337-34100-721.000,900,0,900,900,0,900,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10140040000,101,General Fund,400,Planning,40000,Planning,721000,CIP and Longevity.CIP and Longevity,2092,101-400-40000-721.000,2284,0,2284,2039,0,2039,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Community and Economic Development,70,Expense,Personal Services
2019,10113613600,101,General Fund,136,District Court,13600,District Court,724000,Accrued Sick Pay.Accrued Sick Pay,10458,101-136-13600-724.000,0,0,0,0,0,0,Organization,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10120920900,101,General Fund,209,Assessor,20900,Assessor,724000,Accrued Sick Pay.Accrued Sick Pay,10464,101-209-20900-724.000,24000,0,24000,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10120120100,101,General Fund,201,Finance,20100,Accounting,724000,Accrued Sick Pay.Accrued Sick Pay,9868,101-201-20100-724.000,0,0,0,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10130530500,101,General Fund,305,Police,30500,Administration Services,724000,Accrued Sick Pay.Accrued Sick Pay,10474,101-305-30500-724.000,20000,0,20000,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10140040000,101,General Fund,400,Planning,40000,Planning,724000,Accrued Sick Pay.Accrued Sick Pay,10490,101-400-40000-724.000,0,0,0,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Community and Economic Development,70,Expense,Personal Services
2019,10140040000,101,General Fund,400,Planning,40000,Planning,725000,Accrued Vacation Pay.Accrued Vacation Pay,10491,101-400-40000-725.000,0,0,0,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Community and Economic Development,70,Expense,Personal Services
2019,10130530500,101,General Fund,305,Police,30500,Administration Services,725000,Accrued Vacation Pay.Accrued Vacation Pay,10475,101-305-30500-725.000,0,0,0,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Personal Services
2019,10120120100,101,General Fund,201,Finance,20100,Accounting,725000,Accrued Vacation Pay.Accrued Vacation Pay,9869,101-201-20100-725.000,0,0,0,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10120920900,101,General Fund,209,Assessor,20900,Assessor,725000,Accrued Vacation Pay.Accrued Vacation Pay,10465,101-209-20900-725.000,16000,0,16000,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Personal Services
2019,10113613600,101,General Fund,136,District Court,13600,District Court,725000,Accrued Vacation Pay.Accrued Vacation Pay,10459,101-136-13600-725.000,0,0,0,0,0,0,Organization,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Personal Services
2019,10140040000,101,General Fund,400,Planning,40000,Planning,727000,Office Supplies.Office Supplies,2096,101-400-40000-727.000,700,0,700,500,2500,3000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Community and Economic Development,70,Expense,Supplies
2019,10120125300,101,General Fund,201,Finance,25300,Treasurer,727000,Office Supplies.Office Supplies,1444,101-201-25300-727.000,9250,0,9250,8300,1000,9300,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10133733700,101,General Fund,337,Fire,33700,Administration Services,727000,Office Supplies.Office Supplies,1916,101-337-33700-727.000,2500,0,2500,3000,0,3000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130530700,101,General Fund,305,Police,30700,Records Management,727000,Office Supplies.Office Supplies,1644,101-305-30700-727.000,2200,0,2200,2200,-500,1700,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130530500,101,General Fund,305,Police,30500,Administration Services,727000,Office Supplies.Office Supplies,1571,101-305-30500-727.000,16000,0,16000,16000,-5956,10044,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10120920900,101,General Fund,209,Assessor,20900,Assessor,727000,Office Supplies.Office Supplies,1245,101-209-20900-727.000,4400,0,4400,4400,0,4400,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10121519100,101,General Fund,215,City Clerk,19100,City Clerk - Election,727000,Office Supplies.Office Supplies,1171,101-215-19100-727.000,3200,0,3200,3000,0,3000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10121521500,101,General Fund,215,City Clerk,21500,City Clerk,727000,Office Supplies.Office Supplies,1289,101-215-21500-727.000,2400,0,2400,2400,0,2400,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10113613600,101,General Fund,136,District Court,13600,District Court,727000,Office Supplies.Office Supplies,1080,101-136-13600-727.000,33300,0,33300,33300,0,33300,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Supplies
2019,10117217200,101,General Fund,172,City Manager,17200,City Manager,727000,Office Supplies.Office Supplies,1141,101-172-17200-727.000,11175,0,11175,7650,0,7650,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10120120100,101,General Fund,201,Finance,20100,Accounting,727000,Office Supplies.Office Supplies,1199,101-201-20100-727.000,5385,0,5385,5719,0,5719,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10121021000,101,General Fund,210,Attorney,21000,Legal Services,727000,Office Supplies.Office Supplies,13076,101-210-21000-727.000,0,7500,7500,0,0,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10113613610,101,General Fund,136,District Court,13610,Building,740000,Operating Supplies.Operating Supplies,11438,101-136-13610-740.000,6300,0,6300,5900,0,5900,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Supplies
2019,10133733901,101,General Fund,337,Fire,33901,Fighting - Dual Empl. Reserves,740000,Operating Supplies.Operating Supplies,11001,101-337-33901-740.000,500,0,500,500,-500,0,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10133733902,101,General Fund,337,Fire,33902,Fighting - Paid on Call,740000,Operating Supplies.Operating Supplies,11888,101-337-33902-740.000,1500,0,1500,1500,0,1500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10110110100,101,General Fund,101,City Council,10100,City Council,740000,Operating Supplies.Operating Supplies,1043,101-101-10100-740.000,3450,0,3450,4250,0,4250,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Legislative,10,Expense,Supplies
2019,10123324800,101,General Fund,233,Purchasing,24800,Central Services,740000,Operating Supplies.Operating Supplies,1415,101-233-24800-740.000,500,0,500,500,0,500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10125825800,101,General Fund,258,Information Technology,25800,Information Technology,740000,Operating Supplies.Operating Supplies,1476,101-258-25800-740.000,19000,0,19000,19000,0,19000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10126726700,101,General Fund,267,Facilities,26700,Facilities Maintenance,740000,Operating Supplies.Operating Supplies,1523,101-267-26700-740.000,21530,0,21530,21480,0,21480,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10130530610,101,General Fund,305,Police,30610,Building ,740000,Operating Supplies.Operating Supplies,1612,101-305-30610-740.000,13700,0,13700,13700,-1222,12478,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130531000,101,General Fund,305,Police,31000,Detective Bureau,740000,Operating Supplies.Operating Supplies,1678,101-305-31000-740.000,7000,0,7000,7000,500,7500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130531700,101,General Fund,305,Police,31700,Senior Volunteer,740000,Operating Supplies.Operating Supplies,1832,101-305-31700-740.000,2500,0,2500,2500,0,2500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130533400,101,General Fund,305,Police,33400,Jail,740000,Operating Supplies.Operating Supplies,1894,101-305-33400-740.000,50,0,50,50,0,50,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10133733900,101,General Fund,337,Fire,33900,Fighting,740000,Operating Supplies.Operating Supplies,1974,101-337-33900-740.000,39000,0,39000,27000,12000,39000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130531200,101,General Fund,305,Police,31200,Forensic Science Unit,740000,Operating Supplies.Operating Supplies,1732,101-305-31200-740.000,11000,0,11000,11000,1032,12032,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130531500,101,General Fund,305,Police,31500,Patrol,740000,Operating Supplies.Operating Supplies,1775,101-305-31500-740.000,47600,0,47600,47600,0,47600,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10133734100,101,General Fund,337,Fire,34100,Prevention,740000,Operating Supplies.Operating Supplies,2021,101-337-34100-740.000,3000,0,3000,3000,0,3000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10123324800,101,General Fund,233,Purchasing,24800,Central Services,740001,Operating Supplies.Postage,1416,101-233-24800-740.001,89466,0,89466,90966,0,90966,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10123324800,101,General Fund,233,Purchasing,24800,Central Services,740002,Operating Supplies.Paper Supplies,1417,101-233-24800-740.002,7000,0,7000,7000,0,7000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10133733900,101,General Fund,337,Fire,33900,Fighting,740100,Operating Supplies.Medical,1975,101-337-33900-740.100,8500,7806.98,16306.98,8500,7806.98,16306.98,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10125825800,101,General Fund,258,Information Technology,25800,Information Technology,740200,Operating Supplies.Computer Equipment,11894,101-258-25800-740.200,89000,0,89000,89000,2200.39,91200.39,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10133733900,101,General Fund,337,Fire,33900,Fighting,744000,Uniforms.Uniforms,1977,101-337-33900-744.000,18000,0,18000,18000,0,18000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10133733700,101,General Fund,337,Fire,33700,Administration Services,744000,Uniforms.Uniforms,1918,101-337-33700-744.000,1250,0,1250,750,0,750,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130531700,101,General Fund,305,Police,31700,Senior Volunteer,744000,Uniforms.Uniforms,1834,101-305-31700-744.000,1000,0,1000,1000,0,1000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130531500,101,General Fund,305,Police,31500,Patrol,744000,Uniforms.Uniforms,1777,101-305-31500-744.000,40000,9450,49450,40000,9000,49000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130531200,101,General Fund,305,Police,31200,Forensic Science Unit,744000,Uniforms.Uniforms,1734,101-305-31200-744.000,1800,0,1800,1800,1600,3400,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130531000,101,General Fund,305,Police,31000,Detective Bureau,744000,Uniforms.Uniforms,1680,101-305-31000-744.000,5000,0,5000,5000,500,5500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10130530500,101,General Fund,305,Police,30500,Administration Services,744000,Uniforms.Uniforms,1573,101-305-30500-744.000,4855,0,4855,4855,0,4855,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10113613600,101,General Fund,136,District Court,13600,District Court,744000,Uniforms.Uniforms,1082,101-136-13600-744.000,1500,0,1500,1500,0,1500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Supplies
2019,10133734100,101,General Fund,337,Fire,34100,Prevention,744000,Uniforms.Uniforms,2023,101-337-34100-744.000,500,0,500,500,0,500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10133733902,101,General Fund,337,Fire,33902,Fighting - Paid on Call,744000,Uniforms.Uniforms,11889,101-337-33902-744.000,1000,0,1000,1000,0,1000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10133733901,101,General Fund,337,Fire,33901,Fighting - Dual Empl. Reserves,744000,Uniforms.Uniforms,11002,101-337-33901-744.000,1000,0,1000,1000,1000,2000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10133733902,101,General Fund,337,Fire,33902,Fighting - Paid on Call,744001,Uniforms.Turn Out Gear,11890,101-337-33902-744.001,8800,0,8800,8800,-6500,2300,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10133733900,101,General Fund,337,Fire,33900,Fighting,744001,Uniforms.Turn Out Gear,11878,101-337-33900-744.001,20000,0,20000,20000,0,20000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10133733901,101,General Fund,337,Fire,33901,Fighting - Dual Empl. Reserves,744001,Uniforms.Turn Out Gear,11879,101-337-33901-744.001,6600,0,6600,6600,0,6600,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10117217200,101,General Fund,172,City Manager,17200,City Manager,745000,Awards.Awards,10720,101-172-17200-745.000,9000,-1500,7500,14170,0,14170,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,General Government,30,Expense,Supplies
2019,10133733800,101,General Fund,337,Fire,33800,Buildings,775000,Maintenance Supplies.Maintenance Supplies,1938,101-337-33800-775.000,13000,0,13000,11000,7000,18000,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10133733900,101,General Fund,337,Fire,33900,Fighting,775000,Maintenance Supplies.Maintenance Supplies,1979,101-337-33900-775.000,3500,0,3500,4500,0,4500,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Public Safety,40,Expense,Supplies
2019,10113615100,101,General Fund,136,District Court,15100,District Court - Probation,801000,Professional Services.Professional Services,11774,101-136-15100-801.000,0,25632.48,25632.48,0,58055.93,58055.93,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2018,Governmental,10,Special Revenue Funds,30,Judicial,20,Expense,Other Services and Charges
