Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY19,Expense,Fire,Prevention,General Fund,Personal Services,Pension.Pension,23388
FY19,Expense,Fire,Prevention,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,3948
FY19,Expense,Fire,Prevention,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,900
FY19,Expense,Fire,Prevention,General Fund,Supplies,Operating Supplies.Operating Supplies,3000
FY19,Expense,Fire,Prevention,General Fund,Supplies,Uniforms.Uniforms,500
FY19,Expense,Fire,Prevention,General Fund,Other Services and Charges,Insurance.Liability,1447
FY19,Expense,Fire,Prevention,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,6897
FY19,Expense,Fire,Prevention,General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,1000
FY19,Expense,Fire,Prevention,General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,1500
FY19,Expense,Fire,Prevention,General Fund,Other Services and Charges,Other Services.Other Services,875
FY19,Expense,Fire,Civil Defense,General Fund,Other Services and Charges,Insurance.Property and Bonds,90
FY19,Expense,Fire,Civil Defense,General Fund,Other Services and Charges,Public Utilities.Public Utilities,2100
FY19,Expense,Fire,Civil Defense,General Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,5000
FY19,Expense,Planning,Planning,General Fund,Personal Services,Salaries.Salaries,235594
FY19,Expense,Planning,Planning,General Fund,Personal Services,Boards and Commissions.Boards and Commissions,4500
FY19,Expense,Planning,Planning,General Fund,Personal Services,F.I.C.A..F.I.C.A.,18457
FY19,Expense,Planning,Planning,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,31567
FY19,Expense,Planning,Planning,General Fund,Personal Services,Life Insurance.Life Insurance,315
FY19,Expense,Planning,Planning,General Fund,Personal Services,Pension.Pension,67129
FY19,Expense,Planning,Planning,General Fund,Personal Services,Pension.DC Plan,7119
FY19,Expense,Planning,Planning,General Fund,Personal Services,Pension.Retiree Health - DC Plan,2734
FY19,Expense,Planning,Planning,General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,1161
FY19,Expense,Planning,Planning,General Fund,Personal Services,CIP and Longevity.CIP and Longevity,2284
FY19,Expense,Planning,Planning,General Fund,Supplies,Office Supplies.Office Supplies,700
FY19,Expense,Planning,Planning,General Fund,Other Services and Charges,Professional Services.Professional Services,71885
FY19,Expense,Planning,Planning,General Fund,Other Services and Charges,Communications.Cellular Phones,1000
FY19,Expense,Planning,Planning,General Fund,Other Services and Charges,Travel and Training.Travel and Training,3750
FY19,Expense,Planning,Planning,General Fund,Other Services and Charges,Printing & Advertising.Printing & Advertising,1500
FY19,Expense,Planning,Planning,General Fund,Other Services and Charges,Insurance.Liability,5102
FY19,Expense,Planning,Planning,General Fund,Other Services and Charges,Insurance.Property and Bonds,20
FY19,Expense,Planning,Planning,General Fund,Other Services and Charges,WM Regional Planning.WM Regional Planning,4800
FY19,Expense,Planning,Planning,General Fund,Other Services and Charges,Other Services.Other Services,2930
FY19,Expense,Planning,Economic Development,General Fund,Other Services and Charges,Other Services.Other Services,20000
FY19,Revenue,,,General Fund,Taxes,Property Taxes.Property Taxes,10035000
FY19,Revenue,,,General Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-100400
FY19,Revenue,,,General Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,302230
FY19,Revenue,,,General Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,15000
FY19,Revenue,,,General Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-27000
FY19,Revenue,,,General Fund,Taxes,Property Taxes.Trailer Fees,3500
FY19,Revenue,,,General Fund,Taxes,Property Taxes.IFT Revenue,180800
FY19,Revenue,,,General Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,242264
FY19,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Salaries.Salaries,1000
FY19,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,F.I.C.A..F.I.C.A.,77
FY19,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Life Insurance.Life Insurance,2
FY19,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Pension.Pension,413
FY19,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,61
FY19,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Other Services and Charges,Insurance.Liability,22
FY19,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Salaries.Salaries,2000
FY19,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,1000
FY19,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,F.I.C.A..F.I.C.A.,230
FY19,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Life Insurance.Life Insurance,3
FY19,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Pension.Pension,826
FY19,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,183
FY19,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Other Services and Charges,Insurance.Liability,66
FY19,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,200
FY19,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,300
FY19,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,100
FY19,Expense,Public Works,Public Works - Street Lighting,General Fund,Other Services and Charges,Insurance.Property and Bonds,80
FY19,Expense,Public Works,Public Works - Street Lighting,General Fund,Other Services and Charges,Public Utilities.Public Utilities,770000
FY19,Revenue,,,General Fund,Taxes,Property Taxes.Interest & Penalties,70000
FY19,Revenue,,,General Fund,Taxes,Property Taxes.Administration Fees,950000
FY19,Revenue,,,General Fund,Licenses and Permits,Licenses.Licenses,95000
FY19,Revenue,,,General Fund,Licenses and Permits,CATV Fees.CATV Fees,1200000
FY19,Revenue,,,General Fund,State Grants,State Grants.St. GR. Dist. Judge Salary,91450
FY19,Revenue,,,General Fund,State Grants,State Grants.Auto Theft Prevention Authority,68000
FY19,Revenue,,,General Fund,State Grants,State Grants.Dst Ct Drnk Caseld Asst,10000
FY19,Revenue,,,General Fund,State Grants,State Grants.State Shared Revenue,6030273
FY19,Revenue,,,General Fund,State Grants,State Grants.EVIP (Econ Vitality Incentive),627126
FY19,Revenue,,,General Fund,State Grants,State Grants.Liquor Licenses,29000
FY19,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Other Govt Units Share Elections,3500
FY19,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Share Cross Guards,32000
FY19,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Share Liason Officers,209353
FY19,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Propriet Security,2600
FY19,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Kentwood Street Maint,1500
FY19,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Other Goverment Agencies,4720
FY19,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Kent County Dispatch Authority,14400
FY19,Revenue,,,General Fund,Charges for Service,IFT Application Fees.IFT Application Fees,10000
FY19,Revenue,,,General Fund,Charges for Service,Planning Fees.Planning Fees,20000
FY19,Revenue,,,General Fund,Charges for Service,Duplicating Services.Duplicating Services,19500
FY19,Revenue,,,General Fund,Charges for Service,Inter Fund Services.Inter Fund Services,3612000
FY19,Revenue,,,General Fund,Charges for Service,Fees.Forensics-latnt fngrprt&drg tsts,4000
FY19,Revenue,,,General Fund,Charges for Service,Fees.Impound Income,1200
FY19,Revenue,,,General Fund,Charges for Service,Fees.Fire False Alarm,2000
FY19,Revenue,,,General Fund,Charges for Service,Fees.PD Traffic Control,2500
FY19,Revenue,,,General Fund,Fines and Forfeitures,District Court Income.District Court Income,1700000
FY19,Revenue,,,General Fund,Interest and Rentals,Property Rental Income.Property Rental Income,59770
FY19,Revenue,,,General Fund,Interest and Rentals,Property Rental Income.PD Pistol Range Lease,16000
FY19,Revenue,,,General Fund,Other Revenues,Income/Donations.Vets Mem Pk,900
FY19,Revenue,,,General Fund,Other Revenues,Reimbursements.Reimbursements,20000
FY19,Revenue,,,General Fund,Other Revenues,Reimbursements.PD OUIL/OUID Cost Teim.,23000
FY19,Revenue,,,General Fund,Other Revenues,Reimbursements.Federal Government,4500
FY19,Revenue,,,General Fund,Other Revenues,Reimbursements.Interdepartmental,4000
FY19,Revenue,,,General Fund,Other Revenues,Reimbursements.REGIS - Electric,1500
FY19,Revenue,,,General Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,30000
FY19,Revenue,,,General Fund,Other Financing Sources,Transfer.from Public Safety Fund,2656981
FY19,Revenue,,,General Fund,Other Financing Sources,Transfer.from Fire Fund,1604856
FY19,Revenue,,,General Fund,Other Financing Sources,Transfer.from Police Fund,2673231
FY19,Revenue,,,General Fund,Other Financing Sources,Transfer.from DDA,25000
FY19,Revenue,,,General Fund,Other Financing Sources,Transfer.from Brownfield Redevelopment ,25000
FY19,Expense,Community Outreach Programs,Community Outreach Programs,General Fund,Other Services and Charges,Other Services.Other Services,10000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Salaries.Salaries,200157
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,19000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,11250
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,17869
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,85994
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Life Insurance.Life Insurance,277
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Pension.Pension,88637
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Pension.DC Plan,2
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,2460
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,13806
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,3167
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Supplies,Uniforms.Uniforms,4750
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,75000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Professional Services.Professional Services,23000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,25140
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Communications.Cellular Phones,3000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,2500
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Insurance.Liability,4820
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Public Utilities.Public Utilities,25750
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,357000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Rentals.Rentals,2000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,33208
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,175000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,60000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,20000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,1000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Other Services.Other Services,4000
FY19,Expense,Public Works,Street Maintenance,Major Streets Fund,Capital Outlay,Capital Outlay.Street Resurfacing,8200000
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Salaries.Salaries,266555
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,20000
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,10500
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,22922
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,85899
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Life Insurance.Life Insurance,368
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Pension.Pension,115603
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Pension.DC Plan,1
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,2814
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,17879
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,2563
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Supplies,Uniforms.Uniforms,1200
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Supplies,Tools and Supplies.Tools and Supplies,1400
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,161700
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Professional Services.Professional Services,6000
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Communications.Cellular Phones,3256
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,3000
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Insurance.Liability,6290
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Public Utilities.Public Utilities,47600
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,100000
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,19009
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,69000
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,22000
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,10000
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,1830
FY19,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Other Services.Other Services,5000
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Salaries.Salaries,82156
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,48050
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,9978
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,3280
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Life Insurance.Life Insurance,114
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Pension.Pension,54208
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Pension.DC Plan,1
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,7
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,6956
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,219
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Supplies,Operating Supplies.Operating Supplies,249200
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Communications.Cellular Phones,1500
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,4000
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Insurance.Liability,1805
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,6000
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,22091
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,130000
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,130000
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,20000
FY19,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Other Services.Other Services,2000
FY19,Expense,Public Works,Street Administration,Major Streets Fund,Other Services and Charges,Administrative Fee.Administrative Fee,289616
FY19,Expense,Public Works,Street Administration,Major Streets Fund,Other Services and Charges,Administrative Fee.Engineering Allocation,103149
FY19,Expense,Public Works,Street Administration,Major Streets Fund,Other Services and Charges,Administrative Fee.Adm Alloc PW Adm GenFnd,153550
FY19,Expense,Public Works,Street Administration,Major Streets Fund,Other Services and Charges,Other Services.Other Services,38000
FY19,Revenue,,,Major Streets Fund,Licenses and Permits,Street Permits.Street Permits,25000
FY19,Revenue,,,Major Streets Fund,Licenses and Permits,Street Permits.ROW Rev,250000
FY19,Revenue,,,Major Streets Fund,State Grants,State Grants.M.V.H.F Revenue,5600000
FY19,Revenue,,,Major Streets Fund,Interest and Rentals,Interest on Investments.Interest on Investments,13000
FY19,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements.Reimbursements,5000
FY19,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements.Interdepartmental,20000
FY19,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements Accident.Reimbursements Accident,4000
FY19,Revenue,,,Major Streets Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,3000
FY19,Revenue,,,Major Streets Fund,Other Financing Sources,Transfer.From Cap Impr,4200000
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Salaries.Salaries,185157
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,7000
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,11250
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,16008
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,65659
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Life Insurance.Life Insurance,256
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Pension.Pension,83238
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Pension.DC Plan,1
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,825
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,12161
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,5831
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Supplies,Uniforms.Uniforms,3500
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,61000
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Professional Services.Professional Services,36000
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,25140
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Communications.Cellular Phones,3000
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,2500
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Insurance.Liability,4226
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Public Utilities.Public Utilities,5200
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,171500
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Rentals.Rentals,2000
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,21690
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,80000
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,35000
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,13000
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,500
FY19,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Other Services.Other Services,5000
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Salaries.Salaries,141554
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,10000
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1000
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,11742
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,28288
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Life Insurance.Life Insurance,195
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Pension.Pension,59347
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Pension.DC Plan,1
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,965
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,9271
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,924
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Supplies,Uniforms.Uniforms,500
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Supplies,Tools and Supplies.Tools and Supplies,500
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,26440
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Communications.Cellular Phones,1988
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,1000
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Insurance.Liability,3320
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,600
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,12673
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,25000
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,5000
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,4000
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,1000
FY19,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Other Services.Other Services,1000
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Salaries.Salaries,72156
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,40900
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,8666
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,3280
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Life Insurance.Life Insurance,100
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Pension.Pension,47073
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Pension.DC Plan,1
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,7
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,6056
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,219
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Supplies,Operating Supplies.Operating Supplies,75700
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Communications.Cellular Phones,1200
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,2500
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Insurance.Liability,1585
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,125000
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,17310
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,98000
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,95000
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,19000
FY19,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Other Services.Other Services,1500
FY19,Expense,Public Works,Street Administration,Local Streets Fund,Other Services and Charges,Administrative Fee.Administrative Fee,92913
FY19,Revenue,,,Local Streets Fund,Licenses and Permits,Street Permits.Street Permits,25000
FY19,Revenue,,,Local Streets Fund,State Grants,State Grants.M.V.H.F Revenue,1700000
FY19,Revenue,,,Local Streets Fund,Interest and Rentals,Interest on Investments.Interest on Investments,5000
FY19,Revenue,,,Local Streets Fund,Other Revenues,Reimbursements.Interdepartmental,10000
FY19,Expense,Public Safety,Transfers,Public Safety Fund,Transfers Out,Transfers. General Fund,2656981
FY19,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Property Taxes,2578699
FY19,Revenue,,,Public Safety Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-25600
