budget_year,department,fund_code,account_type,amount,amount,,,,,
2019,Information Technology,101,Expense,Other Services and Charges,16500,,,,,
2019,Facilities,101,Expense,Other Services and Charges,870,,,,,
2019,Purchasing,101,Expense,Other Services and Charges,4000,,,,,
2019,Police,101,Expense,Other Services and Charges,9500,,,,,
2019,Police,101,Expense,Other Services and Charges,7860,,,,,
2019,Police,101,Expense,Other Services and Charges,56703,,,,,
2019,Police,101,Expense,Other Services and Charges,37275,,,,,
2019,City Manager,101,Expense,Other Services and Charges,16770,,,,,
2019,Finance,101,Expense,Other Services and Charges,22335,,,,,
2019,District Court,101,Expense,Other Services and Charges,19200,,,,,
2019,City Council,101,Expense,Other Services and Charges,32950,,,,,
2019,Assessor,101,Expense,Other Services and Charges,13145,,,,,
2019,City Clerk,101,Expense,Other Services and Charges,8500,,,,,
2019,City Clerk,101,Expense,Other Services and Charges,2500,,,,,
2019,Community Outreach Programs,101,Expense,Other Services and Charges,18965,,,,,
2019,Fire,101,Expense,Other Services and Charges,8400,,,,,
2019,Fire,101,Expense,Other Services and Charges,5500,,,,,
2019,Attorney,101,Expense,Other Services and Charges,1000,,,,,
2019,Facilities,101,Expense,Other Services and Charges,500,,,,,
2019,Police,101,Expense,Other Services and Charges,2500,,,,,
2019,Police,101,Expense,Other Services and Charges,12408.33,,,,,
2019,Police,101,Expense,Other Services and Charges,1274.18,,,,,
2019,Police,101,Expense,Other Services and Charges,9934.96,,,,,
2019,Police,101,Expense,Other Services and Charges,7917.41,,,,,
2019,Police,101,Expense,Other Services and Charges,11755.39,,,,,
2019,Police,101,Expense,Other Services and Charges,3000,,,,,
2019,Facilities,101,Expense,Other Services and Charges,2520,,,,,
2019,Police,101,Expense,Capital Outlay,3954.94,,,,,
2019,Fire,101,Expense,Capital Outlay,30000,,,,,
2019,Police,101,Expense,Capital Outlay,6890,,,,,
2019,District Court,101,Expense,Capital Outlay,87000,,,,,
2019,Police,101,Expense,Capital Outlay,25000,,,,,
2019,Fire,101,Expense,Capital Outlay,152430,,,,,
2019,Fire,101,Expense,Capital Outlay,7695,,,,,
2019,Police,101,Expense,Capital Outlay,27500,,,,,
2019,District Court,101,Expense,Capital Outlay,64654.61,,,,,
2019,Information Technology,101,Expense,Capital Outlay,47000,,,,,
2019,,101,Revenue,Taxes,10035000,,,,,
2019,,101,Revenue,Taxes,-100400,,,,,
2019,,101,Revenue,Taxes,302230,,,,,
2019,,101,Revenue,Taxes,15000,,,,,
2019,,101,Revenue,Taxes,-27000,,,,,
2019,,101,Revenue,Taxes,3500,,,,,
2019,,101,Revenue,Taxes,180800,,,,,
2019,,101,Revenue,Taxes,242264,,,,,
2019,,101,Revenue,Taxes,70000,,,,,
2019,,101,Revenue,Taxes,950000,,,,,
2019,,101,Revenue,Licenses and Permits,95000,,,,,
2019,,101,Revenue,Licenses and Permits,1200000,,,,,
2019,,101,Revenue,Federal Grants,51232,,,,,
2019,,101,Revenue,Federal Grants,4725,,,,,
2019,,101,Revenue,Federal Grants,138573,,,,,
2019,,101,Revenue,State Grants,12874.74,,,,,
2019,,101,Revenue,State Grants,91450,,,,,
2019,,101,Revenue,State Grants,68000,,,,,
2019,,101,Revenue,State Grants,10000,,,,,
2019,,101,Revenue,State Grants,6030273,,,,,
2019,,101,Revenue,State Grants,627126,,,,,
2019,,101,Revenue,State Grants,29000,,,,,
2019,,101,Revenue,Contributions from Local Units,3500,,,,,
2019,,101,Revenue,Contributions from Local Units,32000,,,,,
2019,,101,Revenue,Contributions from Local Units,209353,,,,,
2019,,101,Revenue,Contributions from Local Units,2600,,,,,
2019,,101,Revenue,Contributions from Local Units,1500,,,,,
2019,,101,Revenue,Contributions from Local Units,74331.4,,,,,
2019,,101,Revenue,Contributions from Local Units,14400,,,,,
2019,,101,Revenue,Charges for Service,10000,,,,,
2019,,101,Revenue,Charges for Service,20000,,,,,
2019,,101,Revenue,Charges for Service,19500,,,,,
2019,,101,Revenue,Charges for Service,3612000,,,,,
2019,,101,Revenue,Charges for Service,4000,,,,,
2019,,101,Revenue,Charges for Service,1200,,,,,
2019,,101,Revenue,Charges for Service,2000,,,,,
2019,,101,Revenue,Charges for Service,2500,,,,,
2019,,101,Revenue,Fines and Forfeitures,1700000,,,,,
2019,,101,Revenue,Interest and Rentals,0,,,,,
2019,,101,Revenue,Interest and Rentals,59770,,,,,
2019,,101,Revenue,Interest and Rentals,16000,,,,,
2019,,101,Revenue,Other Revenues,0,,,,,
2019,,101,Revenue,Other Revenues,12706.98,,,,,
2019,,101,Revenue,Other Revenues,900,,,,,
2019,,101,Revenue,Other Revenues,2500,,,,,
2019,,101,Revenue,Other Revenues,20000,,,,,
2019,,101,Revenue,Other Revenues,23000,,,,,
2019,,101,Revenue,Other Revenues,4500,,,,,
2019,,101,Revenue,Other Revenues,4000,,,,,
2019,,101,Revenue,Other Revenues,1500,,,,,
2019,,101,Revenue,Other Revenues,0,,,,,
2019,,101,Revenue,Other Revenues,30000,,,,,
2019,,101,Revenue,Other Revenues,0,,,,,
2019,,101,Revenue,Other Financing Sources,2656981,,,,,
2019,,101,Revenue,Other Financing Sources,1604856,,,,,
2019,,101,Revenue,Other Financing Sources,2673231,,,,,
2019,,101,Revenue,Other Financing Sources,25000,,,,,
2019,,101,Revenue,Other Financing Sources,25000,,,,,
2019,Public Works,202,Expense,Personal Services,200157,,,,,
2019,Public Works,202,Expense,Personal Services,266555,,,,,
2019,Public Works,202,Expense,Personal Services,82156,,,,,
2019,Public Works,202,Expense,Personal Services,0,,,,,
2019,Public Works,202,Expense,Personal Services,20000,,,,,
2019,Public Works,202,Expense,Personal Services,19000,,,,,
2019,Public Works,202,Expense,Personal Services,11250,,,,,
2019,Public Works,202,Expense,Personal Services,10500,,,,,
2019,Public Works,202,Expense,Personal Services,48050,,,,,
2019,Public Works,202,Expense,Personal Services,9978,,,,,
2019,Public Works,202,Expense,Personal Services,22922,,,,,
2019,Public Works,202,Expense,Personal Services,17869,,,,,
2019,Public Works,202,Expense,Personal Services,85994,,,,,
2019,Public Works,202,Expense,Personal Services,85899,,,,,
2019,Public Works,202,Expense,Personal Services,3280,,,,,
2019,Public Works,202,Expense,Personal Services,114,,,,,
2019,Public Works,202,Expense,Personal Services,368,,,,,
2019,Public Works,202,Expense,Personal Services,277,,,,,
2019,Public Works,202,Expense,Personal Services,88637,,,,,
2019,Public Works,202,Expense,Personal Services,115603,,,,,
2019,Public Works,202,Expense,Personal Services,54208,,,,,
2019,Public Works,202,Expense,Personal Services,1,,,,,
2019,Public Works,202,Expense,Personal Services,1,,,,,
2019,Public Works,202,Expense,Personal Services,2,,,,,
2019,Public Works,202,Expense,Personal Services,2460,,,,,
2019,Public Works,202,Expense,Personal Services,7,,,,,
2019,Public Works,202,Expense,Personal Services,2814,,,,,
2019,Public Works,202,Expense,Personal Services,6956,,,,,
2019,Public Works,202,Expense,Personal Services,17879,,,,,
2019,Public Works,202,Expense,Personal Services,13806,,,,,
2019,Public Works,202,Expense,Personal Services,3167,,,,,
2019,Public Works,202,Expense,Personal Services,2563,,,,,
2019,Public Works,202,Expense,Personal Services,219,,,,,
2019,Public Works,202,Expense,Supplies,249200,,,,,
2019,Public Works,202,Expense,Supplies,4750,,,,,
2019,Public Works,202,Expense,Supplies,1200,,,,,
2019,Public Works,202,Expense,Supplies,1400,,,,,
2019,Public Works,202,Expense,Supplies,161700,,,,,
2019,Public Works,202,Expense,Supplies,75000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,23000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,8740,,,,,
2019,Public Works,202,Expense,Other Services and Charges,289616,,,,,
2019,Public Works,202,Expense,Other Services and Charges,103149,,,,,
2019,Public Works,202,Expense,Other Services and Charges,153550,,,,,
2019,Public Works,202,Expense,Other Services and Charges,25140,,,,,
2019,Public Works,202,Expense,Other Services and Charges,1500,,,,,
2019,Public Works,202,Expense,Other Services and Charges,3000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,3256,,,,,
2019,Public Works,202,Expense,Other Services and Charges,3000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,4000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,2500,,,,,
2019,Public Works,202,Expense,Other Services and Charges,4820,,,,,
2019,Public Works,202,Expense,Other Services and Charges,1805,,,,,
2019,Public Works,202,Expense,Other Services and Charges,6290,,,,,
2019,Public Works,202,Expense,Other Services and Charges,25750,,,,,
2019,Public Works,202,Expense,Other Services and Charges,47600,,,,,
2019,Public Works,202,Expense,Other Services and Charges,6000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,100000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,357000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,2000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,19009,,,,,
2019,Public Works,202,Expense,Other Services and Charges,22091,,,,,
2019,Public Works,202,Expense,Other Services and Charges,33208,,,,,
2019,Public Works,202,Expense,Other Services and Charges,175000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,130000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,69000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,22000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,130000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,60000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,20000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,20000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,10000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,1000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,1830,,,,,
2019,Public Works,202,Expense,Other Services and Charges,5000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,2000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,38000,,,,,
2019,Public Works,202,Expense,Other Services and Charges,4000,,,,,
2019,Public Works,202,Expense,Capital Outlay,70000,,,,,
2019,Public Works,202,Expense,Capital Outlay,4200000,,,,,
2019,Public Works,202,Expense,Capital Outlay,2584353.02,,,,,
2019,Public Works,202,Expense,Transfers Out,1500000,,,,,
2019,,202,Revenue,Licenses and Permits,25000,,,,,
2019,,202,Revenue,Licenses and Permits,250000,,,,,
2019,,202,Revenue,State Grants,5600000,,,,,
2019,,202,Revenue,Interest and Rentals,13000,,,,,
2019,,202,Revenue,Other Revenues,5000,,,,,
2019,,202,Revenue,Other Revenues,20000,,,,,
2019,,202,Revenue,Other Revenues,4000,,,,,
2019,,202,Revenue,Other Revenues,3000,,,,,
2019,,202,Revenue,Other Financing Sources,4200000,,,,,
2019,Public Works,203,Expense,Personal Services,185157,,,,,
2019,Public Works,203,Expense,Personal Services,141554,,,,,
2019,Public Works,203,Expense,Personal Services,72156,,,,,
2019,Public Works,203,Expense,Personal Services,0,,,,,
2019,Public Works,203,Expense,Personal Services,10000,,,,,
2019,Public Works,203,Expense,Personal Services,7000,,,,,
2019,Public Works,203,Expense,Personal Services,11250,,,,,
2019,Public Works,203,Expense,Personal Services,1000,,,,,
2019,Public Works,203,Expense,Personal Services,40900,,,,,
2019,Public Works,203,Expense,Personal Services,8666,,,,,
2019,Public Works,203,Expense,Personal Services,11742,,,,,
2019,Public Works,203,Expense,Personal Services,16008,,,,,
2019,Public Works,203,Expense,Personal Services,65659,,,,,
2019,Public Works,203,Expense,Personal Services,28288,,,,,
2019,Public Works,203,Expense,Personal Services,3280,,,,,
2019,Public Works,203,Expense,Personal Services,100,,,,,
2019,Public Works,203,Expense,Personal Services,195,,,,,
2019,Public Works,203,Expense,Personal Services,256,,,,,
2019,Public Works,203,Expense,Personal Services,83238,,,,,
2019,Public Works,203,Expense,Personal Services,59347,,,,,
2019,Public Works,203,Expense,Personal Services,47073,,,,,
2019,Public Works,203,Expense,Personal Services,1,,,,,
2019,Public Works,203,Expense,Personal Services,1,,,,,
2019,Public Works,203,Expense,Personal Services,1,,,,,
2019,Public Works,203,Expense,Personal Services,825,,,,,
2019,Public Works,203,Expense,Personal Services,965,,,,,
2019,Public Works,203,Expense,Personal Services,7,,,,,
2019,Public Works,203,Expense,Personal Services,12161,,,,,
2019,Public Works,203,Expense,Personal Services,6056,,,,,
2019,Public Works,203,Expense,Personal Services,9271,,,,,
2019,Public Works,203,Expense,Personal Services,924,,,,,
2019,Public Works,203,Expense,Personal Services,5831,,,,,
2019,Public Works,203,Expense,Personal Services,219,,,,,
2019,Public Works,203,Expense,Supplies,75700,,,,,
2019,Public Works,203,Expense,Supplies,500,,,,,
2019,Public Works,203,Expense,Supplies,3500,,,,,
2019,Public Works,203,Expense,Supplies,500,,,,,
2019,Public Works,203,Expense,Supplies,26440,,,,,
2019,Public Works,203,Expense,Supplies,61000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,36000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,92913,,,,,
2019,Public Works,203,Expense,Other Services and Charges,25140,,,,,
2019,Public Works,203,Expense,Other Services and Charges,1988,,,,,
2019,Public Works,203,Expense,Other Services and Charges,1200,,,,,
2019,Public Works,203,Expense,Other Services and Charges,3000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,1000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,2500,,,,,
2019,Public Works,203,Expense,Other Services and Charges,2500,,,,,
2019,Public Works,203,Expense,Other Services and Charges,1585,,,,,
2019,Public Works,203,Expense,Other Services and Charges,3320,,,,,
2019,Public Works,203,Expense,Other Services and Charges,4226,,,,,
2019,Public Works,203,Expense,Other Services and Charges,5200,,,,,
2019,Public Works,203,Expense,Other Services and Charges,171500,,,,,
2019,Public Works,203,Expense,Other Services and Charges,125000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,600,,,,,
2019,Public Works,203,Expense,Other Services and Charges,2000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,12673,,,,,
2019,Public Works,203,Expense,Other Services and Charges,17310,,,,,
2019,Public Works,203,Expense,Other Services and Charges,21690,,,,,
2019,Public Works,203,Expense,Other Services and Charges,80000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,98000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,25000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,5000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,95000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,35000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,13000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,19000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,4000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,500,,,,,
2019,Public Works,203,Expense,Other Services and Charges,1000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,5000,,,,,
2019,Public Works,203,Expense,Other Services and Charges,1500,,,,,
2019,Public Works,203,Expense,Other Services and Charges,1000,,,,,
2019,Public Works,203,Expense,Capital Outlay,70000,,,,,
2019,Public Works,203,Expense,Capital Outlay,2076461.06,,,,,
2019,,203,Revenue,Licenses and Permits,25000,,,,,
2019,,203,Revenue,State Grants,1700000,,,,,
2019,,203,Revenue,Interest and Rentals,5000,,,,,
2019,,203,Revenue,Other Revenues,10000,,,,,
2019,,203,Revenue,Other Revenues,0,,,,,
2019,,203,Revenue,Other Financing Sources,2000000,,,,,
2019,Public Safety,205,Expense,Transfers Out,2656981,,,,,
2019,,205,Revenue,Taxes,2578699,,,,,
2019,,205,Revenue,Taxes,-25600,,,,,
2019,,205,Revenue,Taxes,2700,,,,,
2019,,205,Revenue,Taxes,4500,,,,,
2019,,205,Revenue,Taxes,-5800,,,,,
2019,,205,Revenue,Taxes,46100,,,,,
2019,,205,Revenue,Taxes,51882,,,,,
2019,,205,Revenue,Interest and Rentals,4500,,,,,
2019,Fire,206,Expense,Transfers Out,1604856,,,,,
2019,,206,Revenue,Taxes,1550134,,,,,
2019,,206,Revenue,Taxes,-15400,,,,,
2019,,206,Revenue,Taxes,1610,,,,,
2019,,206,Revenue,Taxes,2700,,,,,
2019,,206,Revenue,Taxes,-3500,,,,,
2019,,206,Revenue,Taxes,27600,,,,,
2019,,206,Revenue,Taxes,38912,,,,,
2019,,206,Revenue,Interest and Rentals,2800,,,,,
2019,Police,207,Expense,Transfers Out,2673231,,,,,
2019,,207,Revenue,Taxes,2581578,,,,,
2019,,207,Revenue,Taxes,-25600,,,,,
2019,,207,Revenue,Taxes,2700,,,,,
2019,,207,Revenue,Taxes,4600,,,,,
2019,,207,Revenue,Taxes,-5800,,,,,
2019,,207,Revenue,Taxes,46100,,,,,
2019,,207,Revenue,Taxes,64853,,,,,
2019,,207,Revenue,Interest and Rentals,4800,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,140325,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,207607,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,93489,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,514821,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,0,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,19607,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,19607,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,26142,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,177000,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,47290,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,33750,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,361190,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,411196,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,409446,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,15400,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,600,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,27000,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,600,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,43254,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,22002,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,55713,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,10828,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,10790,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,32835,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,32969,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,1179,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,29641,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,33998,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,43729,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,162059,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,35065,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,19109,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,580,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,16919,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,16919,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,275,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,706,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,129,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,188,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,28,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,28,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,0,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,37,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,59897,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,28410,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,202487,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,73544,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,7870,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,0,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,5900,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,5900,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,1569,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,1569,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,0,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,193,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,2092,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,9009,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,7480,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,22920,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,5689,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,4617,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,1090,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,6498,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,53,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,0,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,820,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,820,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,5323,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,26830,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,10661,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,2307,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,16237,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,16302,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,584,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,14653,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,2904,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,2990,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,9479,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,150,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,248,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,248,,,,,
2019,Parks and Recreation,208,Expense,Personal Services,330,,,,,
2019,Parks and Recreation,208,Expense,Supplies,3425,,,,,
2019,Parks and Recreation,208,Expense,Supplies,2820,,,,,
2019,Parks and Recreation,208,Expense,Supplies,10000,,,,,
2019,Parks and Recreation,208,Expense,Supplies,10500,,,,,
2019,Parks and Recreation,208,Expense,Supplies,56000,,,,,
2019,Parks and Recreation,208,Expense,Supplies,8014,,,,,
2019,Parks and Recreation,208,Expense,Supplies,670,,,,,
2019,Parks and Recreation,208,Expense,Supplies,25231,,,,,
2019,Parks and Recreation,208,Expense,Supplies,3300,,,,,
2019,Parks and Recreation,208,Expense,Supplies,300,,,,,
2019,Parks and Recreation,208,Expense,Supplies,900,,,,,
2019,Parks and Recreation,208,Expense,Supplies,73450,,,,,
2019,Parks and Recreation,208,Expense,Supplies,7460,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,39225,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,17200,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,312466,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,8150,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,1990,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,240,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,3700,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,650,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,2538,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,1800,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,350,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,2360,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,3310,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,5190,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,2315,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,13100,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,1000,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,6220,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,27340,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,2973,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,6072,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,15158,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,3098,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,8533,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,341,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,9491,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,9453,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,450,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,2270,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,134600,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,36200,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,5160,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,65450,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,29790,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,350,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,24820,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,41400,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,180000,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,0,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,6720,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,500,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,50000,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,30000,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,1700,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,38550,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,23212,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,3025,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,9210,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,9700,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,9670,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,25650,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,14110.37,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,21494.03,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,12170,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,7645.99,,,,,
2019,Parks and Recreation,208,Expense,Other Services and Charges,23600,,,,,
2019,Parks and Recreation,208,Expense,Capital Outlay,10000,,,,,
2019,Parks and Recreation,208,Expense,Capital Outlay,20000,,,,,
2019,Parks and Recreation,208,Expense,Capital Outlay,550,,,,,
2019,Parks and Recreation,208,Expense,Capital Outlay,34622,,,,,
2019,Parks and Recreation,208,Expense,Capital Outlay,35000,,,,,
2019,Parks and Recreation,208,Expense,Capital Outlay,815186.8,,,,,
2019,Parks and Recreation,208,Expense,Capital Outlay,25463,,,,,
2019,Parks and Recreation,208,Expense,Capital Outlay,10000,,,,,
2019,Parks and Recreation,208,Expense,Capital Outlay,20000,,,,,
2019,Parks and Recreation,208,Expense,Capital Outlay,5100,,,,,
2019,Parks and Recreation,208,Expense,Capital Outlay,10000,,,,,
2019,,208,Revenue,Taxes,3070000,,,,,
2019,,208,Revenue,Taxes,-30700,,,,,
2019,,208,Revenue,Taxes,3250,,,,,
2019,,208,Revenue,Taxes,5500,,,,,
2019,,208,Revenue,Taxes,-6900,,,,,
2019,,208,Revenue,Taxes,55300,,,,,
2019,,208,Revenue,Taxes,77823,,,,,
2019,,208,Revenue,Federal Grants,17617,,,,,
2019,,208,Revenue,Federal Grants,18084,,,,,
2019,,208,Revenue,Federal Grants,532762,,,,,
2019,,208,Revenue,Federal Grants,535219,,,,,
2019,,208,Revenue,Federal Grants,552337,,,,,
