Fiscal Year,Amount,Account Description,Fund Code,Fund Description,Department Code,Department,Division Code,Division,Account Type,Account Category,,GL_Account_ID,GL_Account_Delimited,Column1,Column2,GL_Organization_Scrunched,GL_Organization_Description_Delimited,GL_Base_and_Detail_Scrunched,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Budget_Type,Budget_Level,GL_Account_Status,Paying_Fund,Receipting_Fund,CurrentFiscalYear,Fund_Category,Fund_Category_Sequence,Fund_Type,Fund_Type_Sequence,Column10,Column11,Account_Class_Level_1_Sequence
FY20,2440,Other Services.Other Services,2020,Major Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,8868,590-590-54800-718.000,,,59059054800,Sewer Fund-Wastewater Utility-GVRBA Operations-Land Appl,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,300000,Capital Outlay.Major Street Construction,2020,Major Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Capital Outlay,,8006,591-441-56600-718.000,,,59144156600,Water Fund-Public Works-T and D - Hydrants,718000,,,,,,,,Detail Account Level,,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,4470000,Capital Outlay.Street Resurfacing,2020,Major Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Capital Outlay,,8021,591-441-56700-718.000,,,59144156700,Water Fund-Public Works-T and D - Services,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,25000,Street Permits.Street Permits,2030,Local Streets Fund,,,,,Revenue,Licenses and Permits,,6067,591-441-56200-718.000,,,59144156200,Water Fund-Public Works-T and D - Mains,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,2000000,State Grants.M.V.H.F Revenue,2030,Local Streets Fund,,,,,Revenue,State Grants,,4954,591-441-57400-718.000,,,59144157400,Water Fund-Public Works-Installation of Service,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,15000,Engineering Fees.Subdivision.Subdivision,2030,Local Streets Fund,,,,,Revenue,Charges for Service,,5142,661-441-58200-718.000,,,66144158200,Motor Pool Fund-Public Works-Equipment Operations,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Internal Service Funds,20,,,10
FY20,5000,Interest on Investments.Interest on Investments,2030,Local Streets Fund,,,,,Revenue,Interest and Rentals,,4681,591-591-56500-718.000,,,59159156500,Water Fund-Water Utility-T and D - Meters,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,5000,Reimbursements.Reimbursements,2030,Local Streets Fund,,,,,Revenue,Other Revenues,,4650,591-591-56400-718.000,,,59159156400,Water Fund-Water Utility-T and D - Pipeline Meters,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,10000,Reimbursements.Interdepartmental,2030,Local Streets Fund,,,,,Revenue,Other Revenues,,4806,591-591-56900-718.000,,,59159156900,Water Fund-Water Utility-Customer Accounting,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,185002,Salaries.Salaries,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Personal Services,,5194,661-441-58300-718.000,,,66144158300,Motor Pool Fund-Public Works-Building,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Internal Service Funds,20,,,10
FY20,137042,Salaries.Salaries,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Personal Services,,4321,590-441-54200-718.000,,,59044154200,Sewer Fund-Public Works-Transmission,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,80001,Salaries.Salaries,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Personal Services,,4373,590-590-54300-718.000,,,59059054300,Sewer Fund-Wastewater Utility-Treatment,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,10000,Salaries - Temporary.Salaries - Temporary,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Personal Services,,4468,590-590-54700-718.000,,,59059054700,Sewer Fund-Wastewater Utility-Industrial Pretreatment,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,5000,Salaries - Temporary.Salaries - Temporary,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Personal Services,,4607,591-591-56300-718.000,,,59159156300,Water Fund-Water Utility-T and D - Pipeline to Gezon,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,11250,Salaries - Overtime.Salaries - Overtime,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Personal Services,,4578,591-591-56100-718.000,,,59159156100,Water Fund-Water Utility-T and D - Storage/W of Gezon,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,1000,Salaries - Overtime.Salaries - Overtime,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Personal Services,,3749,591-591-55300-718.000,,,59159155300,Water Fund-Water Utility-Pumping and Treatment,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,45000,Salaries - Overtime.Salaries - Overtime,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Personal Services,,3862,591-591-55900-718.000,,,59159155900,Water Fund-Water Utility-T and  D - Gezon Station,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,9581,F.I.C.A..F.I.C.A.,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Personal Services,,3809,591-591-55800-718.000,,,59159155800,Water Fund-Water Utility-T and D - Storage/E of Gezon,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,11417,F.I.C.A..F.I.C.A.,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Personal Services,,1467,101-258-25800-718.000,,,10125825800,General Fund-Information Technology-Information Technology,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,15841,F.I.C.A..F.I.C.A.,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Personal Services,,1517,101-267-26700-718.000,,,10126726700,General Fund-Facilities-Facilities Maintenance,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,79390,Hospitalization Insurance.Hospitalization Insurance,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Personal Services,,1608,101-305-30610-718.000,,,10130530610,General Fund-Police-Building ,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,53744,Hospitalization Insurance.Hospitalization Insurance,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Personal Services,,1566,101-305-30500-718.000,,,10130530500,General Fund-Police-Administration Services,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,3514,Hospitalization Insurance.Hospitalization Insurance,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Personal Services,,1640,101-305-30700-718.000,,,10130530700,General Fund-Police-Records Management,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,111,Life Insurance.Life Insurance,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Personal Services,,1672,101-305-31000-718.000,,,10130531000,General Fund-Police-Detective Bureau,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,189,Life Insurance.Life Insurance,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Personal Services,,1910,101-337-33700-718.000,,,10133733700,General Fund-Fire-Administration Services,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,257,Life Insurance.Life Insurance,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Personal Services,,1966,101-337-33900-718.000,,,10133733900,General Fund-Fire-Fighting,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,74109,Pension.Pension,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Personal Services,,1767,101-305-31500-718.000,,,10130531500,General Fund-Police-Patrol,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,47423,Pension.Pension,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Personal Services,,1724,101-305-31200-718.000,,,10130531200,General Fund-Police-Forensic Science Unit,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,48396,Pension.Pension,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Personal Services,,1440,101-201-25300-718.000,,,10120125300,General Fund-Finance-Treasurer,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,6861,Pension.DC Plan,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Personal Services,,1111,101-136-15100-718.000,,,10113615100,General Fund-District Court-District Court - Probation,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,9535,Pension.DC Plan,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Personal Services,,1072,101-136-13600-718.000,,,10113613600,General Fund-District Court-District Court,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,3205,Pension.DC Plan,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Personal Services,,1131,101-172-17200-718.000,,,10117217200,General Fund-City Manager-City Manager,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1876,Pension.Retiree Health - DC Plan,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Personal Services,,1194,101-201-20100-718.000,,,10120120100,General Fund-Finance-Accounting,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,6014,Pension.Retiree Health - DC Plan,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Personal Services,,1283,101-215-21500-718.000,,,10121521500,General Fund-City Clerk-City Clerk,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1080,Pension.Retiree Health - DC Plan,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Personal Services,,1237,101-209-20900-718.000,,,10120920900,General Fund-Assessor-Assessor,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,11772,Workers Comp. Insurance.Work Comp. Insurance,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Personal Services,,1167,101-215-19100-718.000,,,10121519100,General Fund-City Clerk-City Clerk - Election,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,6383,Workers Comp. Insurance.Work Comp. Insurance,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Personal Services,,2504,202-441-46300-718.000,,,20244146300,Major Streets Fund-Public Works-Street Maintenance,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,8622,Workers Comp. Insurance.Work Comp. Insurance,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Personal Services,,2686,203-441-46300-718.000,,,20344146300,Local Streets Fund-Public Works-Street Maintenance,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1187,CIP and Longevity.CIP and Longevity,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Personal Services,,2550,202-441-47400-718.000,,,20244147400,Major Streets Fund-Public Works-Traffic Services,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,5810,CIP and Longevity.CIP and Longevity,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Personal Services,,2600,202-441-47800-718.000,,,20244147800,Major Streets Fund-Public Works-Winter Maintenance,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,222,CIP and Longevity.CIP and Longevity,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Personal Services,,2015,101-337-34100-718.000,,,10133734100,General Fund-Fire-Prevention,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,87700,Operating Supplies.Operating Supplies,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Supplies,,2088,101-400-40000-718.000,,,10140040000,General Fund-Planning-Planning,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,500,Uniforms.Uniforms,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Supplies,,2227,101-441-44612-718.000,,,10144144612,General Fund-Public Works-Kentwood Hwys/Street(Non Act 51),718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,3500,Uniforms.Uniforms,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Supplies,,2241,101-441-44613-718.000,,,10144144613,General Fund-Public Works-Other Govt/Agencies(Non Act 51),718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,500,Tools and Supplies.Tools and Supplies,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Supplies,,2948,208-752-75200-718.000,,,20875275200,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Administration,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,26440,Maintenance Supplies.Maintenance Supplies,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Supplies,,2732,203-441-47400-718.000,,,20344147400,Local Streets Fund-Public Works-Traffic Services,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,61000,Maintenance Supplies.Maintenance Supplies,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Supplies,,2773,203-441-47800-718.000,,,20344147800,Local Streets Fund-Public Works-Winter Maintenance,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,32000,Professional Services.Professional Services,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,3091,208-752-75800-718.000,,,20875275800,Parks and Recreation Fund-Parks and Recreation-Parks and Rec - Senior Center,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,106147,Administrative Fee.Administrative Fee,2030,Local Streets Fund,441,Public Works,48300,Street Administration,Expense,Other Services and Charges,,3005,208-752-75600-718.000,,,20875275600,Parks and Recreation Fund-Parks and Recreation-Parks and Rec Facility,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,22160,Geographic & IT Information Services.Geographic & IT Info Services,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,3289,230-441-44300-718.000,,,23044144300,Solid Waste Disposal Fund-Public Works-Yard Waste Disposal,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1988,Communications.Cellular Phones,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Other Services and Charges,,3232,211-441-44210-718.000,,,21144144210,Sidewalk Fund-Public Works-Sidewalk Repair,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1200,Communications.Cellular Phones,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Other Services and Charges,,3152,208-752-76100-718.000,,,20875276100,Parks and Recreation Fund-Parks and Recreation-Recreation,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,3000,Communications.Cellular Phones,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,13071,101-210-21000-718.000,,,10121021000,General Fund-Attorney-Legal Services,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1000,Travel and Training.Travel and Training,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Other Services and Charges,,12810,401-267-26700-718.000,,,40126726700,Library Maint & Capital Fund-Facilities-Facilities Maintenance,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,2500,Travel and Training.Travel and Training,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Other Services and Charges,,13308,256-400-69120-718.000,,,25640069120,Community Development Fund-Planning-Rehabilitation 2020,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,2500,Travel and Training.Travel and Training,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,13255,256-400-17520-718.000,,,25640017520,Community Development Fund-Planning-Administration 2020,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,1761,Insurance.Liability,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Other Services and Charges,,13090,208-752-76112-718.000,,,20875276112,Parks and Recreation Fund-Parks and Recreation-21st Century Cohort K,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,3222,Insurance.Liability,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Other Services and Charges,,13349,400-441-17500-718.000,,,40044117500,Capital Improvement Fund-Public Works-Administration,718000,,,,,,,,Organization,Department,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Capital Projects Funds,50,,,10
FY20,4181,Insurance.Liability,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,11627,208-752-76111-718.000,,,20875276111,Parks and Recreation Fund-Parks and Recreation-21st Century Cohort I - 2,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,4000,Public Utilities.Public Utilities,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,11614,208-752-76110-718.000,,,20875276110,Parks and Recreation Fund-Parks and Recreation-21st Century Cohort I - 1,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,200000,Repairs and Maintenance.Repairs and Maintenance,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,11685,249-371-72200-718.000,,,24937172200,Building Inspection Fund-Permits-Zoning and Other Programs,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,130000,Repairs and Maintenance.Repairs and Maintenance,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Other Services and Charges,,11676,249-371-37300-718.000,,,24937137300,Building Inspection Fund-Permits-Rental Program,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,600,Repairs and Maintenance.Repairs and Maintenance,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Other Services and Charges,,11667,249-371-37220-718.000,,,24937137220,Building Inspection Fund-Permits-Code Enforcement - CDBG Eligible,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,2000,Rentals.Rentals,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,11658,249-371-37210-718.000,,,24937137210,Building Inspection Fund-Permits-Code Enforcement - Other,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,13390,Rentals.Motor Pool Building,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Other Services and Charges,,10731,101-337-33901-718.000,,,10133733901,General Fund-Fire-Fighting - Dual Empl. Reserves,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,19734,Rentals.Motor Pool Building,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Other Services and Charges,,10684,591-591-55310-718.000,,,59159155310,Water Fund-Water Utility-Pumping&Treatment - Lab Services,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,24944,Rentals.Motor Pool Building,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,10612,590-590-54310-718.000,,,59059054310,Sewer Fund-Wastewater Utility-Treatment - Lab Services,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,80000,Motor Pool Rental.Equipment Rental,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,9343,590-590-54801-718.000,,,59059054801,Sewer Fund-Wastewater Utility-GVRBA Operations-Pump House,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Proprietary,20,Enterprise Funds,10,,,10
FY20,105000,Motor Pool Rental.Equipment Rental,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Other Services and Charges,,9130,249-371-37100-718.000,,,24937137100,Building Inspection Fund-Permits-Permits,718000,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,20000,Motor Pool Rental.Equipment Rental,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Other Services and Charges,,11615,208-752-76110-718.100,,,20875276110,Parks and Recreation Fund-Parks and Recreation-21st Century Cohort I - 1,718100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,5000,Motor Pool Rental.Equipment Maintenance,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Other Services and Charges,,11628,208-752-76111-718.100,,,20875276111,Parks and Recreation Fund-Parks and Recreation-21st Century Cohort I - 2,718100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,110000,Motor Pool Rental.Equipment Maintenance,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Other Services and Charges,,11693,249-371-37210-718.100,,,24937137210,Building Inspection Fund-Permits-Code Enforcement - Other,718100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,35000,Motor Pool Rental.Equipment Maintenance,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,11724,249-371-37220-718.100,,,24937137220,Building Inspection Fund-Permits-Code Enforcement - CDBG Eligible,718100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,12000,Motor Pool Rental.Equipment - Fuel,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,11728,249-371-37300-718.100,,,24937137300,Building Inspection Fund-Permits-Rental Program,718100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,17000,Motor Pool Rental.Equipment - Fuel,2030,Local Streets Fund,441,Public Works,47800,Winter Maintenance,Expense,Other Services and Charges,,11761,249-371-72200-718.100,,,24937172200,Building Inspection Fund-Permits-Zoning and Other Programs,718100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,3000,Motor Pool Rental.Equipment - Fuel,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Other Services and Charges,,11373,101-209-20900-718.100,,,10120920900,General Fund-Assessor-Assessor,718100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,700,Motor Pool Rental.Equipment - Radio System,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,10965,101-267-26700-718.100,,,10126726700,General Fund-Facilities-Facilities Maintenance,718100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,800,Motor Pool Rental.Equipment - Radio System,2030,Local Streets Fund,441,Public Works,47400,Traffic Services,Expense,Other Services and Charges,,11107,101-201-25300-718.100,,,10120125300,General Fund-Finance-Treasurer,718100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
FY20,2500,Other Services.Other Services,2030,Local Streets Fund,441,Public Works,46300,Street Maintenance,Expense,Other Services and Charges,,10878,249-371-37100-718.100,,,24937137100,Building Inspection Fund-Permits-Permits,718100,,,,,,,,Account Classification,Activity,"Transactions, Budgets, Reports",102,102,2019,Governmental,10,Special Revenue Funds,30,,,10
