Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,,Fund Code,Department Code,Division Code
FY20,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Salaries - Officials.Salaries - Officials,73600,,,101,215,19100
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Salaries - Officials.Salaries - Officials,43254,,,208,752,76100
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Personal Services,F.I.C.A..F.I.C.A.,4309,,,590,590,54800
FY20,Expense,Public Works,T and D - Services,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,35707,,,591,441,56700
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,3213,,,591,441,56600
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,37058,,,591,441,56200
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,F.I.C.A..F.I.C.A.,25767,,,208,752,76100
FY20,Expense,Public Works,Sidewalk Repair,Sidewalk Fund,Personal Services,F.I.C.A..F.I.C.A.,2142,,,211,441,44210
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Personal Services,F.I.C.A..F.I.C.A.,15500,,,230,441,44300
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,F.I.C.A..F.I.C.A.,58072,,,208,752,75600
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,F.I.C.A..F.I.C.A.,13560,,,208,752,75800
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,9581,,,203,441,47800
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,11417,,,203,441,47400
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Personal Services,F.I.C.A..F.I.C.A.,11541,,,208,752,75200
FY20,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,F.I.C.A..F.I.C.A.,153,,,101,441,44613
FY20,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,F.I.C.A..F.I.C.A.,77,,,101,441,44612
FY20,Expense,Planning,Planning,General Fund,Personal Services,F.I.C.A..F.I.C.A.,19098,,,101,400,40000
FY20,Expense,Fire,Prevention,General Fund,Personal Services,F.I.C.A..F.I.C.A.,11372,,,101,337,34100
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,10116,,,202,441,47800
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,25771,,,202,441,47400
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,15841,,,203,441,46300
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,24463,,,202,441,46300
FY20,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,F.I.C.A..F.I.C.A.,1363,,,101,215,19100
FY20,Expense,Assessor,Assessor,General Fund,Personal Services,F.I.C.A..F.I.C.A.,32831,,,101,209,20900
FY20,Expense,City Clerk,City Clerk,General Fund,Personal Services,F.I.C.A..F.I.C.A.,21912,,,101,215,21500
FY20,Expense,Finance,Accounting,General Fund,Personal Services,F.I.C.A..F.I.C.A.,40797,,,101,201,20100
FY20,Expense,City Manager,City Manager,General Fund,Personal Services,F.I.C.A..F.I.C.A.,60654,,,101,172,17200
FY20,Expense,District Court,District Court,General Fund,Personal Services,F.I.C.A..F.I.C.A.,67362,,,101,136,13600
FY20,Expense,District Court,District Court - Probation,General Fund,Personal Services,F.I.C.A..F.I.C.A.,19252,,,101,136,15100
FY20,Expense,City Council,City Council,General Fund,Personal Services,F.I.C.A..F.I.C.A.,5581,,,101,101,10100
FY20,Expense,Assessor,Board of Review,General Fund,Personal Services,F.I.C.A..F.I.C.A.,505,,,101,209,24700
FY20,Expense,Finance,Treasurer,General Fund,Personal Services,F.I.C.A..F.I.C.A.,16439,,,101,201,25300
FY20,Expense,Police,Forensic Science Unit,General Fund,Personal Services,F.I.C.A..F.I.C.A.,29052,,,101,305,31200
FY20,Expense,Police,Patrol,General Fund,Personal Services,F.I.C.A..F.I.C.A.,421371,,,101,305,31500
FY20,Expense,Fire,Fighting,General Fund,Personal Services,F.I.C.A..F.I.C.A.,168248,,,101,337,33900
FY20,Expense,Fire,Administration Services,General Fund,Personal Services,F.I.C.A..F.I.C.A.,17211,,,101,337,33700
FY20,Expense,Police,Detective Bureau,General Fund,Personal Services,F.I.C.A..F.I.C.A.,123076,,,101,305,31000
FY20,Expense,Police,Records Management,General Fund,Personal Services,F.I.C.A..F.I.C.A.,16119,,,101,305,30700
FY20,Expense,Police,Administration Services,General Fund,Personal Services,F.I.C.A..F.I.C.A.,62766,,,101,305,30500
FY20,Expense,Police,Building ,General Fund,Personal Services,F.I.C.A..F.I.C.A.,3535,,,101,305,30610
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,F.I.C.A..F.I.C.A.,6160,,,101,267,26700
FY20,Expense,Information Technology,Information Technology,General Fund,Personal Services,F.I.C.A..F.I.C.A.,49629,,,101,258,25800
FY20,Expense,Water Utility,T and D - Storage/E of Gezon,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,465,,,591,591,55800
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,6076,,,591,591,55900
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,110981,,,591,591,55300
FY20,Expense,Water Utility,T and D - Storage/W of Gezon,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,465,,,591,591,56100
FY20,Expense,Water Utility,T and D - Pipeline to Gezon,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,5602,,,591,591,56300
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Personal Services,F.I.C.A..F.I.C.A.,22484,,,590,590,54700
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Personal Services,F.I.C.A..F.I.C.A.,104857,,,590,590,54300
FY20,Expense,Public Works,Transmission,Sewer Fund,Personal Services,F.I.C.A..F.I.C.A.,37270,,,590,441,54200
FY20,Expense,Public Works,Building,Motor Pool Fund,Personal Services,F.I.C.A..F.I.C.A.,5523,,,661,441,58300
FY20,Expense,Water Utility,Customer Accounting,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,17447,,,591,591,56900
FY20,Expense,Water Utility,T and D - Pipeline Meters,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,3521,,,591,591,56400
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,14284,,,591,591,56500
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Personal Services,F.I.C.A..F.I.C.A.,26343,,,661,441,58200
FY20,Expense,Public Works,Installation of Service,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,842,,,591,441,57400
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Personal Services,F.I.C.A..F.I.C.A.,9037,,,249,371,37210
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Personal Services,F.I.C.A..F.I.C.A.,5003,,,249,371,37220
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Personal Services,F.I.C.A..F.I.C.A.,9735,,,249,371,37300
FY20,Expense,Permits,Zoning and Other Programs,Building Inspection Fund,Personal Services,F.I.C.A..F.I.C.A.,3938,,,249,371,72200
FY20,Expense,Parks and Recreation,21st Century Cohort I - 1,Parks and Recreation Fund,Personal Services,F.I.C.A..F.I.C.A.,1649,,,208,752,76110
FY20,Expense,Parks and Recreation,21st Century Cohort I - 2,Parks and Recreation Fund,Personal Services,F.I.C.A..F.I.C.A.,1650,,,208,752,76111
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Personal Services,F.I.C.A..F.I.C.A.,23841,,,590,590,54310
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,F.I.C.A..F.I.C.A.,9333,,,101,337,33901
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Personal Services,F.I.C.A..F.I.C.A.,19036,,,591,591,55310
FY20,Expense,Permits,Permits,Building Inspection Fund,Personal Services,F.I.C.A..F.I.C.A.,30956,,,249,371,37100
FY20,Expense,Wastewater Utility,GVRBA Operations-Pump House,Sewer Fund,Personal Services,F.I.C.A..F.I.C.A.,780,,,590,590,54801
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Personal Services,F.I.C.A..F.I.C.A.,31468,,,400,441,17500
FY20,Expense,Parks and Recreation,21st Century Cohort K,Parks and Recreation Fund,Personal Services,F.I.C.A..F.I.C.A.,7070,,,208,752,76112
FY20,Expense,Planning,Administration 2020,Community Development Fund,Personal Services,F.I.C.A..F.I.C.A.,3522,,,256,400,17520
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Personal Services,F.I.C.A..F.I.C.A.,3230,,,256,400,69120
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Personal Services,F.I.C.A..F.I.C.A.,3873,,,401,267,26700
FY20,Expense,Attorney,Legal Services,General Fund,Personal Services,F.I.C.A..F.I.C.A.,12358,,,101,210,21000
FY20,Expense,Fire,Fighting - Paid on Call,General Fund,Personal Services,F.I.C.A..F.I.C.A.,9563,,,101,337,33902
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,19971,,,590,590,54800
FY20,Expense,Public Works,T and D - Services,Water Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,134761,,,591,441,56700
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,162002,,,591,441,56200
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,92157,,,661,441,58200
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,66840,,,591,591,56500
FY20,Expense,Water Utility,T and D - Pipeline Meters,Water Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,1723,,,591,591,56400
FY20,Expense,Water Utility,Customer Accounting,Water Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,64639,,,591,591,56900
FY20,Expense,Public Works,Building,Motor Pool Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,17230,,,661,441,58300
FY20,Expense,Public Works,Transmission,Sewer Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,134401,,,590,441,54200
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,351876,,,590,590,54300
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,80278,,,590,590,54700
FY20,Expense,Water Utility,T and D - Pipeline to Gezon,Water Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,24287,,,591,591,56300
FY20,Expense,Water Utility,T and D - Storage/W of Gezon,Water Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,1723,,,591,591,56100
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,376141,,,591,591,55300
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,11200,,,591,591,55900
FY20,Expense,Water Utility,T and D - Storage/E of Gezon,Water Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,1723,,,591,591,55800
FY20,Expense,Information Technology,Information Technology,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,145391,,,101,258,25800
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,23162,,,101,267,26700
FY20,Expense,Police,Building ,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,23426,,,101,305,30610
FY20,Expense,Police,Administration Services,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,153663,,,101,305,30500
FY20,Expense,Police,Records Management,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,73035,,,101,305,30700
FY20,Expense,Police,Detective Bureau,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,387934,,,101,305,31000
FY20,Expense,Fire,Administration Services,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,57886,,,101,337,33700
FY20,Expense,Fire,Fighting,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,558118,,,101,337,33900
FY20,Expense,Police,Patrol,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,1176679,,,101,305,31500
FY20,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,105401,,,101,305,31200
FY20,Expense,Finance,Treasurer,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,53530,,,101,201,25300
FY20,Expense,District Court,District Court - Probation,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,35009,,,101,136,15100
FY20,Expense,District Court,District Court,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,243069,,,101,136,13600
FY20,Expense,City Manager,City Manager,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,182748,,,101,172,17200
FY20,Expense,Finance,Accounting,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,97239,,,101,201,20100
FY20,Expense,City Clerk,City Clerk,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,110931,,,101,215,21500
FY20,Expense,Assessor,Assessor,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,128804,,,101,209,20900
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,106005,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,79390,,,203,441,46300
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,86603,,,202,441,47400
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,3514,,,202,441,47800
FY20,Expense,Fire,Prevention,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,46852,,,101,337,34100
FY20,Expense,Planning,Planning,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,64951,,,101,400,40000
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,46815,,,208,752,75200
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,53744,,,203,441,47400
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,3514,,,203,441,47800
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,64081,,,208,752,75800
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,183510,,,208,752,75600
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,37395,,,208,752,76100
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,10935,,,230,441,44300
FY20,Expense,Attorney,Legal Services,General Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,17230,,,101,210,21000
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,18984,,,401,267,26700
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,14290,,,256,400,69120
FY20,Expense,Planning,Administration 2020,Community Development Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,10722,,,256,400,17520
FY20,Expense,Parks and Recreation,21st Century Cohort K,Parks and Recreation Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,18741,,,208,752,76112
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,94024,,,400,441,17500
FY20,Expense,Wastewater Utility,GVRBA Operations-Pump House,Sewer Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,3456,,,590,590,54801
FY20,Expense,Permits,Permits,Building Inspection Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,91396,,,249,371,37100
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,75793,,,591,591,55310
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,83225,,,590,590,54310
FY20,Expense,Parks and Recreation,21st Century Cohort I - 2,Parks and Recreation Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,2343,,,208,752,76111
FY20,Expense,Parks and Recreation,21st Century Cohort I - 1,Parks and Recreation Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,2343,,,208,752,76110
FY20,Expense,Permits,Zoning and Other Programs,Building Inspection Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,10421,,,249,371,72200
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,42617,,,249,371,37300
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,17178,,,249,371,37220
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,34063,,,249,371,37210
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Personal Services,Life Insurance.Life Insurance,72,,,590,590,54800
FY20,Expense,Public Works,T and D - Services,Water Fund,Personal Services,Life Insurance.Life Insurance,512,,,591,441,56700
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Personal Services,Life Insurance.Life Insurance,43,,,591,441,56600
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,Life Insurance.Life Insurance,573,,,591,441,56200
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Life Insurance.Life Insurance,288,,,208,752,76100
FY20,Expense,Public Works,Sidewalk Repair,Sidewalk Fund,Personal Services,Life Insurance.Life Insurance,35,,,211,441,44210
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Personal Services,Life Insurance.Life Insurance,177,,,230,441,44300
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,Life Insurance.Life Insurance,738,,,208,752,75600
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,Life Insurance.Life Insurance,195,,,208,752,75800
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Life Insurance.Life Insurance,111,,,203,441,47800
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Life Insurance.Life Insurance,189,,,203,441,47400
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Personal Services,Life Insurance.Life Insurance,187,,,208,752,75200
FY20,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Life Insurance.Life Insurance,3,,,101,441,44613
FY20,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Life Insurance.Life Insurance,2,,,101,441,44612
FY20,Expense,Planning,Planning,General Fund,Personal Services,Life Insurance.Life Insurance,337,,,101,400,40000
FY20,Expense,Fire,Prevention,General Fund,Personal Services,Life Insurance.Life Insurance,195,,,101,337,34100
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Life Insurance.Life Insurance,114,,,202,441,47800
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Life Insurance.Life Insurance,409,,,202,441,47400
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Life Insurance.Life Insurance,257,,,203,441,46300
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Life Insurance.Life Insurance,397,,,202,441,46300
FY20,Expense,Assessor,Assessor,General Fund,Personal Services,Life Insurance.Life Insurance,548,,,101,209,20900
FY20,Expense,City Clerk,City Clerk,General Fund,Personal Services,Life Insurance.Life Insurance,389,,,101,215,21500
FY20,Expense,Finance,Accounting,General Fund,Personal Services,Life Insurance.Life Insurance,688,,,101,201,20100
FY20,Expense,City Manager,City Manager,General Fund,Personal Services,Life Insurance.Life Insurance,1087,,,101,172,17200
FY20,Expense,District Court,District Court,General Fund,Personal Services,Life Insurance.Life Insurance,1049,,,101,136,13600
FY20,Expense,District Court,District Court - Probation,General Fund,Personal Services,Life Insurance.Life Insurance,332,,,101,136,15100
FY20,Expense,Finance,Treasurer,General Fund,Personal Services,Life Insurance.Life Insurance,277,,,101,201,25300
FY20,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Life Insurance.Life Insurance,492,,,101,305,31200
FY20,Expense,Police,Patrol,General Fund,Personal Services,Life Insurance.Life Insurance,6719,,,101,305,31500
FY20,Expense,Fire,Fighting,General Fund,Personal Services,Life Insurance.Life Insurance,2498,,,101,337,33900
FY20,Expense,Fire,Administration Services,General Fund,Personal Services,Life Insurance.Life Insurance,304,,,101,337,33700
FY20,Expense,Police,Detective Bureau,General Fund,Personal Services,Life Insurance.Life Insurance,2016,,,101,305,31000
FY20,Expense,Police,Records Management,General Fund,Personal Services,Life Insurance.Life Insurance,284,,,101,305,30700
FY20,Expense,Police,Administration Services,General Fund,Personal Services,Life Insurance.Life Insurance,1025,,,101,305,30500
FY20,Expense,Police,Building ,General Fund,Personal Services,Life Insurance.Life Insurance,61,,,101,305,30610
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Life Insurance.Life Insurance,98,,,101,267,26700
FY20,Expense,Information Technology,Information Technology,General Fund,Personal Services,Life Insurance.Life Insurance,823,,,101,258,25800
FY20,Expense,Water Utility,T and D - Storage/E of Gezon,Water Fund,Personal Services,Life Insurance.Life Insurance,9,,,591,591,55800
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Personal Services,Life Insurance.Life Insurance,102,,,591,591,55900
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Personal Services,Life Insurance.Life Insurance,1764,,,591,591,55300
FY20,Expense,Water Utility,T and D - Storage/W of Gezon,Water Fund,Personal Services,Life Insurance.Life Insurance,9,,,591,591,56100
FY20,Expense,Water Utility,T and D - Pipeline to Gezon,Water Fund,Personal Services,Life Insurance.Life Insurance,89,,,591,591,56300
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Personal Services,Life Insurance.Life Insurance,380,,,590,590,54700
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Personal Services,Life Insurance.Life Insurance,1697,,,590,590,54300
FY20,Expense,Public Works,Transmission,Sewer Fund,Personal Services,Life Insurance.Life Insurance,580,,,590,441,54200
FY20,Expense,Public Works,Building,Motor Pool Fund,Personal Services,Life Insurance.Life Insurance,78,,,661,441,58300
FY20,Expense,Water Utility,Customer Accounting,Water Fund,Personal Services,Life Insurance.Life Insurance,301,,,591,591,56900
FY20,Expense,Water Utility,T and D - Pipeline Meters,Water Fund,Personal Services,Life Insurance.Life Insurance,55,,,591,591,56400
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Personal Services,Life Insurance.Life Insurance,257,,,591,591,56500
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Personal Services,Life Insurance.Life Insurance,437,,,661,441,58200
FY20,Expense,Public Works,Installation of Service,Water Fund,Personal Services,Life Insurance.Life Insurance,14,,,591,441,57400
FY20,Expense,Permits,Permits,Building Inspection Fund,Personal Services,Life Insurance.Life Insurance,516,,,249,371,37100
FY20,Expense,Wastewater Utility,GVRBA Operations-Pump House,Sewer Fund,Personal Services,Life Insurance.Life Insurance,13,,,590,590,54801
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Personal Services,Life Insurance.Life Insurance,399,,,590,590,54310
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Personal Services,Life Insurance.Life Insurance,336,,,591,591,55310
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,Life Insurance.Life Insurance,63,,,101,337,33901
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Personal Services,Life Insurance.Life Insurance,147,,,249,371,37210
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Personal Services,Life Insurance.Life Insurance,90,,,249,371,37220
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Personal Services,Life Insurance.Life Insurance,169,,,249,371,37300
FY20,Expense,Permits,Zoning and Other Programs,Building Inspection Fund,Personal Services,Life Insurance.Life Insurance,61,,,249,371,72200
FY20,Expense,Parks and Recreation,21st Century Cohort I - 1,Parks and Recreation Fund,Personal Services,Life Insurance.Life Insurance,10,,,208,752,76110
FY20,Expense,Parks and Recreation,21st Century Cohort I - 2,Parks and Recreation Fund,Personal Services,Life Insurance.Life Insurance,10,,,208,752,76111
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Personal Services,Life Insurance.Life Insurance,483,,,400,441,17500
FY20,Expense,Parks and Recreation,21st Century Cohort K,Parks and Recreation Fund,Personal Services,Life Insurance.Life Insurance,76,,,208,752,76112
FY20,Expense,Planning,Administration 2020,Community Development Fund,Personal Services,Life Insurance.Life Insurance,64,,,256,400,17520
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Personal Services,Life Insurance.Life Insurance,59,,,256,400,69120
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Personal Services,Life Insurance.Life Insurance,64,,,401,267,26700
FY20,Expense,Attorney,Legal Services,General Fund,Personal Services,Life Insurance.Life Insurance,214,,,101,210,21000
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Personal Services,Pension.Pension,13814,,,590,590,54800
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Personal Services,Pension.Pension,10860,,,591,441,56600
FY20,Expense,Public Works,T and D - Services,Water Fund,Personal Services,Pension.Pension,172658,,,591,441,56700
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,Pension.Pension,168942,,,591,441,56200
FY20,Expense,Public Works,Installation of Service,Water Fund,Personal Services,Pension.Pension,3786,,,591,441,57400
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Personal Services,Pension.Pension,80499,,,661,441,58200
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Personal Services,Pension.Pension,81158,,,591,591,56500
FY20,Expense,Water Utility,T and D - Pipeline Meters,Water Fund,Personal Services,Pension.Pension,14032,,,591,591,56400
FY20,Expense,Water Utility,Customer Accounting,Water Fund,Personal Services,Pension.Pension,69603,,,591,591,56900
FY20,Expense,Public Works,Building,Motor Pool Fund,Personal Services,Pension.Pension,23152,,,661,441,58300
FY20,Expense,Public Works,Transmission,Sewer Fund,Personal Services,Pension.Pension,168748,,,590,441,54200
