Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
2019,Revenue,,,General Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,15000
2019,Revenue,,,General Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-27000
2019,Revenue,,,General Fund,Taxes,Property Taxes.Trailer Fees,3500
2019,Revenue,,,General Fund,Taxes,Property Taxes.IFT Revenue,180800
2019,Revenue,,,General Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,242264
2019,Revenue,,,General Fund,Taxes,Property Taxes.Interest & Penalties,70000
2019,Revenue,,,General Fund,Taxes,Property Taxes.Administration Fees,950000
2019,Revenue,,,General Fund,Licenses and Permits,Licenses.Licenses,95000
2019,Revenue,,,General Fund,Licenses and Permits,CATV Fees.CATV Fees,1200000
2019,Revenue,,,General Fund,Federal Grants,Federal Grants.OHSP - Strategic Traffic Enf,51232
2019,Revenue,,,General Fund,Federal Grants,Federal Grants.Bulletproof Vest Grant,4725
2019,Revenue,,,General Fund,Federal Grants,Federal Grants.FEMA Grant,138573
2019,Revenue,,,General Fund,State Grants,State Grants.State/County  Misc. Grant Reimb,12874.74
2019,Revenue,,,General Fund,State Grants,State Grants.St. GR. Dist. Judge Salary,91450
2019,Revenue,,,General Fund,State Grants,State Grants.Auto Theft Prevention Authority,68000
2019,Revenue,,,General Fund,State Grants,State Grants.Dst Ct Drnk Caseld Asst,10000
2019,Revenue,,,General Fund,State Grants,State Grants.State Shared Revenue,6030273
2019,Revenue,,,General Fund,State Grants,State Grants.EVIP (Econ Vitality Incentive),627126
2019,Revenue,,,General Fund,State Grants,State Grants.Liquor Licenses,29000
2019,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Other Govt Units Share Elections,3500
2019,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Share Cross Guards,32000
2019,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Share Liason Officers,209353
2019,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.School Propriet Security,2600
2019,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Kentwood Street Maint,1500
2019,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Other Goverment Agencies,74331.4
2019,Revenue,,,General Fund,Contributions from Local Units,Contributions from Local Units.Kent County Dispatch Authority,14400
2019,Revenue,,,General Fund,Charges for Service,IFT Application Fees.IFT Application Fees,10000
2019,Revenue,,,General Fund,Charges for Service,Planning Fees.Planning Fees,20000
2019,Revenue,,,General Fund,Charges for Service,Duplicating Services.Duplicating Services,19500
2019,Revenue,,,General Fund,Charges for Service,Inter Fund Services.Inter Fund Services,3612000
2019,Revenue,,,General Fund,Charges for Service,Fees.Forensics-latnt fngrprt&drg tsts,4000
2019,Revenue,,,General Fund,Charges for Service,Fees.Impound Income,1200
2019,Revenue,,,General Fund,Charges for Service,Fees.Fire False Alarm,2000
2019,Revenue,,,General Fund,Charges for Service,Fees.PD Traffic Control,2500
2019,Revenue,,,General Fund,Fines and Forfeitures,District Court Income.District Court Income,1700000
2019,Revenue,,,General Fund,Interest and Rentals,Interest on Investments.Interest on Investments,0
2019,Revenue,,,General Fund,Interest and Rentals,Property Rental Income.Property Rental Income,59770
2019,Revenue,,,General Fund,Interest and Rentals,Property Rental Income.PD Pistol Range Lease,16000
2019,Revenue,,,General Fund,Other Revenues,Income/Donations.Income/Donations,0
2019,Revenue,,,General Fund,Other Revenues,Income/Donations.Fire Dept Program,12706.98
2019,Revenue,,,General Fund,Other Revenues,Income/Donations.Vets Mem Pk,900
2019,Revenue,,,General Fund,Other Revenues,Income/Donations.Police Special,2500
2019,Revenue,,,General Fund,Other Revenues,Reimbursements.Reimbursements,20000
2019,Revenue,,,General Fund,Other Revenues,Reimbursements.PD OUIL/OUID Cost Teim.,23000
2019,Revenue,,,General Fund,Other Revenues,Reimbursements.Federal Government,4500
2019,Revenue,,,General Fund,Other Revenues,Reimbursements.Interdepartmental,4000
2019,Revenue,,,General Fund,Other Revenues,Reimbursements.REGIS - Electric,1500
2019,Revenue,,,General Fund,Other Revenues,Reimbursements.Legal Internal,0
2019,Revenue,,,General Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,30000
2019,Revenue,,,General Fund,Other Revenues,Cash Drawer.Over & Short,0
2019,Revenue,,,General Fund,Other Financing Sources,Transfer.from Public Safety Fund,2656981
2019,Revenue,,,General Fund,Other Financing Sources,Transfer.from Fire Fund,1604856
2019,Revenue,,,General Fund,Other Financing Sources,Transfer.from Police Fund,2673231
2019,Revenue,,,General Fund,Other Financing Sources,Transfer.from DDA,25000
2019,Revenue,,,General Fund,Other Financing Sources,Transfer.from Brownfield Redevelopment ,25000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Salaries.Salaries,200157
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Salaries.Salaries,266555
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Salaries.Salaries,82156
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,0
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,20000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,19000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,11250
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,10500
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,48050
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,9978
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,22922
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,17869
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,85994
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,85899
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,3280
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Life Insurance.Life Insurance,114
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Life Insurance.Life Insurance,368
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Life Insurance.Life Insurance,277
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Pension.Pension,88637
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Pension.Pension,115603
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Pension.Pension,54208
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Pension.DC Plan,1
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Pension.DC Plan,1
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Pension.DC Plan,2
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,2460
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,7
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,2814
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,6956
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,17879
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,13806
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,3167
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,2563
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,219
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Supplies,Operating Supplies.Operating Supplies,249200
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Supplies,Uniforms.Uniforms,4750
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Supplies,Uniforms.Uniforms,1200
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Supplies,Tools and Supplies.Tools and Supplies,1400
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,161700
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,75000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Professional Services.Professional Services,23000
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Professional Services.Professional Services,8740
2019,Expense,Public Works,Street Administration,Major Streets Fund,Other Services and Charges,Administrative Fee.Administrative Fee,289616
2019,Expense,Public Works,Street Administration,Major Streets Fund,Other Services and Charges,Administrative Fee.Engineering Allocation,103149
2019,Expense,Public Works,Street Administration,Major Streets Fund,Other Services and Charges,Administrative Fee.Adm Alloc PW Adm GenFnd,153550
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,25140
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Communications.Cellular Phones,1500
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Communications.Cellular Phones,3000
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Communications.Cellular Phones,3256
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,3000
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,4000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,2500
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Insurance.Liability,4820
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Insurance.Liability,1805
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Insurance.Liability,6290
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Public Utilities.Public Utilities,25750
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Public Utilities.Public Utilities,47600
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,6000
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,100000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,357000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Rentals.Rentals,2000
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,19009
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,22091
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,33208
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,175000
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,130000
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,69000
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,22000
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,130000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,60000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,20000
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,20000
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,10000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,1000
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,1830
2019,Expense,Public Works,Traffic Services,Major Streets Fund,Other Services and Charges,Other Services.Other Services,5000
2019,Expense,Public Works,Winter Maintenance,Major Streets Fund,Other Services and Charges,Other Services.Other Services,2000
2019,Expense,Public Works,Street Administration,Major Streets Fund,Other Services and Charges,Other Services.Other Services,38000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Other Services and Charges,Other Services.Other Services,4000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Capital Outlay,Capital Outlay.Storm Sewer,70000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Capital Outlay,Capital Outlay.Major Street Construction,4200000
2019,Expense,Public Works,Street Maintenance,Major Streets Fund,Capital Outlay,Capital Outlay.Street Resurfacing,2584353.02
2019,Expense,Public Works,Transfers to Local Streets/CIP,Major Streets Fund,Transfers Out,Transfers.Local Street,1500000
2019,Revenue,,,Major Streets Fund,Licenses and Permits,Street Permits.Street Permits,25000
2019,Revenue,,,Major Streets Fund,Licenses and Permits,Street Permits.ROW Rev,250000
2019,Revenue,,,Major Streets Fund,State Grants,State Grants.M.V.H.F Revenue,5600000
2019,Revenue,,,Major Streets Fund,Interest and Rentals,Interest on Investments.Interest on Investments,13000
2019,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements.Reimbursements,5000
2019,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements.Interdepartmental,20000
2019,Revenue,,,Major Streets Fund,Other Revenues,Reimbursements Accident.Reimbursements Accident,4000
2019,Revenue,,,Major Streets Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,3000
2019,Revenue,,,Major Streets Fund,Other Financing Sources,Transfer.From Cap Impr,4200000
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Salaries.Salaries,185157
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Salaries.Salaries,141554
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Salaries.Salaries,72156
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,0
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,10000
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,7000
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,11250
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1000
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,40900
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,8666
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,11742
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,F.I.C.A..F.I.C.A.,16008
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,65659
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,28288
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Hospitalization Insurance.Hospitalization Insurance,3280
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Life Insurance.Life Insurance,100
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Life Insurance.Life Insurance,195
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Life Insurance.Life Insurance,256
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Pension.Pension,83238
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Pension.Pension,59347
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Pension.Pension,47073
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Pension.DC Plan,1
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Pension.DC Plan,1
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Pension.DC Plan,1
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,825
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,965
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Pension.Retiree Health - DC Plan,7
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,12161
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,6056
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Workers Comp. Insurance.Work Comp. Insurance,9271
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,924
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,5831
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,CIP and Longevity.CIP and Longevity,219
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Supplies,Operating Supplies.Operating Supplies,75700
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Supplies,Uniforms.Uniforms,500
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Supplies,Uniforms.Uniforms,3500
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Supplies,Tools and Supplies.Tools and Supplies,500
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,26440
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Supplies,Maintenance Supplies.Maintenance Supplies,61000
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Professional Services.Professional Services,36000
2019,Expense,Public Works,Street Administration,Local Streets Fund,Other Services and Charges,Administrative Fee.Administrative Fee,92913
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Geographic & IT Information Services.Geographic & IT Info Services,25140
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Communications.Cellular Phones,1988
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Communications.Cellular Phones,1200
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Communications.Cellular Phones,3000
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,1000
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,2500
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Travel and Training.Travel and Training,2500
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Insurance.Liability,1585
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Insurance.Liability,3320
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Insurance.Liability,4226
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Public Utilities.Public Utilities,5200
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,171500
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,125000
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Repairs and Maintenance.Repairs and Maintenance,600
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Rentals.Rentals,2000
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,12673
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,17310
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Rentals.Motor Pool Building,21690
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,80000
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,98000
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Rental,25000
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,5000
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,95000
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment Maintenance,35000
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,13000
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,19000
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Fuel,4000
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,500
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Motor Pool Rental.Equipment - Radio System,1000
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Other Services and Charges,Other Services.Other Services,5000
2019,Expense,Public Works,Winter Maintenance,Local Streets Fund,Other Services and Charges,Other Services.Other Services,1500
2019,Expense,Public Works,Traffic Services,Local Streets Fund,Other Services and Charges,Other Services.Other Services,1000
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Capital Outlay,Capital Outlay.Storm Sewer,70000
2019,Expense,Public Works,Street Maintenance,Local Streets Fund,Capital Outlay,Capital Outlay.Street Resurfacing,2076461.06
2019,Revenue,,,Local Streets Fund,Licenses and Permits,Street Permits.Street Permits,25000
2019,Revenue,,,Local Streets Fund,State Grants,State Grants.M.V.H.F Revenue,1700000
2019,Revenue,,,Local Streets Fund,Interest and Rentals,Interest on Investments.Interest on Investments,5000
2019,Revenue,,,Local Streets Fund,Other Revenues,Reimbursements.Interdepartmental,10000
2019,Revenue,,,Local Streets Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,0
2019,Revenue,,,Local Streets Fund,Other Financing Sources,Transfer.From Major Street Fund,2000000
2019,Expense,Public Safety,Transfers,Public Safety Fund,Transfers Out,Transfers. General Fund,2656981
2019,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Property Taxes,2578699
2019,Revenue,,,Public Safety Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-25600
2019,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,2700
2019,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,4500
2019,Revenue,,,Public Safety Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-5800
2019,Revenue,,,Public Safety Fund,Taxes,Property Taxes.IFT Revenue,46100
2019,Revenue,,,Public Safety Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,51882
2019,Revenue,,,Public Safety Fund,Interest and Rentals,Interest on Investments.Interest on Investments,4500
2019,Expense,Fire,Transfers,Fire Fund,Transfers Out,Transfers. General Fund,1604856
2019,Revenue,,,Fire Fund,Taxes,Property Taxes.Property Taxes,1550134
2019,Revenue,,,Fire Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-15400
2019,Revenue,,,Fire Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,1610
2019,Revenue,,,Fire Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,2700
2019,Revenue,,,Fire Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-3500
2019,Revenue,,,Fire Fund,Taxes,Property Taxes.IFT Revenue,27600
2019,Revenue,,,Fire Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,38912
2019,Revenue,,,Fire Fund,Interest and Rentals,Interest on Investments.Interest on Investments,2800
2019,Expense,Police,Transfers,Police Fund,Transfers Out,Transfers. General Fund,2673231
2019,Revenue,,,Police Fund,Taxes,Property Taxes.Property Taxes,2581578
2019,Revenue,,,Police Fund,Taxes,Delinquent Tax Revenue.Delinquent Tax Revenue,-25600
2019,Revenue,,,Police Fund,Taxes,Property Taxes.Serv Charge In Lieu Of Tax,2700
2019,Revenue,,,Police Fund,Taxes,Property Taxes.Act 425 Serv Chg In Lieu of Tax,4600
2019,Revenue,,,Police Fund,Taxes,Property Taxes.Act 425 Payments to Other Govern,-5800
2019,Revenue,,,Police Fund,Taxes,Property Taxes.IFT Revenue,46100
2019,Revenue,,,Police Fund,Taxes,Property Tax.PPT Reimbursement-LCSA,64853
2019,Revenue,,,Police Fund,Interest and Rentals,Interest on Investments.Interest on Investments,4800
2019,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Personal Services,Salaries.Salaries,140325
2019,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Salaries.Salaries,207607
2019,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,Salaries.Salaries,93489
2019,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,Salaries.Salaries,514821
2019,Expense,Parks and Recreation,21st Century Cohort H,Parks and Recreation Fund,Personal Services,Salaries.Salaries,0
2019,Expense,Parks and Recreation,21st Century Cohort I - 1,Parks and Recreation Fund,Personal Services,Salaries.Salaries,19607
2019,Expense,Parks and Recreation,21st Century Cohort I - 2,Parks and Recreation Fund,Personal Services,Salaries.Salaries,19607
2019,Expense,Parks and Recreation,21st Century Cohort K,Parks and Recreation Fund,Personal Services,Salaries.Salaries,26142
2019,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,177000
2019,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,47290
2019,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,33750
2019,Expense,Parks and Recreation,21st Century Cohort K,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,361190
2019,Expense,Parks and Recreation,21st Century Cohort I - 2,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,411196
2019,Expense,Parks and Recreation,21st Century Cohort I - 1,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,409446
2019,Expense,Parks and Recreation,21st Century Cohort H,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,15400
2019,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,600
