budget_year,department,fund_code,account_type,account_category,amount
FY20,,2020,Revenue,Interest and Rentals,30000
FY20,,2020,Revenue,Other Revenues,5000
FY20,,2020,Revenue,Other Revenues,20000
FY20,,2020,Revenue,Other Revenues,3000
FY20,,2020,Revenue,Other Revenues,2000
FY20,Public Works,2020,Expense,Personal Services,288137
FY20,Public Works,2020,Expense,Personal Services,298968
FY20,Public Works,2020,Expense,Personal Services,82001
FY20,Public Works,2020,Expense,Personal Services,20000
FY20,Public Works,2020,Expense,Personal Services,15000
FY20,Public Works,2020,Expense,Personal Services,13220
FY20,Public Works,2020,Expense,Personal Services,14600
FY20,Public Works,2020,Expense,Personal Services,50000
FY20,Public Works,2020,Expense,Personal Services,10116
FY20,Public Works,2020,Expense,Personal Services,25771
FY20,Public Works,2020,Expense,Personal Services,24463
FY20,Public Works,2020,Expense,Personal Services,106005
FY20,Public Works,2020,Expense,Personal Services,86603
FY20,Public Works,2020,Expense,Personal Services,3514
FY20,Public Works,2020,Expense,Personal Services,114
FY20,Public Works,2020,Expense,Personal Services,409
FY20,Public Works,2020,Expense,Personal Services,397
FY20,Public Works,2020,Expense,Personal Services,115647
FY20,Public Works,2020,Expense,Personal Services,115190
FY20,Public Works,2020,Expense,Personal Services,51306
FY20,Public Works,2020,Expense,Personal Services,13251
FY20,Public Works,2020,Expense,Personal Services,3289
FY20,Public Works,2020,Expense,Personal Services,11273
FY20,Public Works,2020,Expense,Personal Services,3463
FY20,Public Works,2020,Expense,Personal Services,1031
FY20,Public Works,2020,Expense,Personal Services,5718
FY20,Public Works,2020,Expense,Personal Services,6691
FY20,Public Works,2020,Expense,Personal Services,19224
FY20,Public Works,2020,Expense,Personal Services,16758
FY20,Public Works,2020,Expense,Personal Services,5071
FY20,Public Works,2020,Expense,Personal Services,3312
FY20,Public Works,2020,Expense,Personal Services,222
FY20,Public Works,2020,Expense,Personal Services,4758
FY20,Public Works,2020,Expense,Personal Services,1762
FY20,Public Works,2020,Expense,Supplies,1320
FY20,Public Works,2020,Expense,Supplies,160
FY20,Public Works,2020,Expense,Supplies,289200
FY20,Public Works,2020,Expense,Supplies,4500
FY20,Public Works,2020,Expense,Supplies,1280
FY20,Public Works,2020,Expense,Supplies,1500
FY20,Public Works,2020,Expense,Supplies,161700
FY20,Public Works,2020,Expense,Supplies,75000
FY20,Public Works,2020,Expense,Other Services and Charges,20000
FY20,Public Works,2020,Expense,Other Services and Charges,15550
FY20,Public Works,2020,Expense,Other Services and Charges,201204
FY20,Public Works,2020,Expense,Other Services and Charges,1160
FY20,Public Works,2020,Expense,Other Services and Charges,12760
FY20,Public Works,2020,Expense,Other Services and Charges,22160
FY20,Public Works,2020,Expense,Other Services and Charges,1500
FY20,Public Works,2020,Expense,Other Services and Charges,3500
FY20,Public Works,2020,Expense,Other Services and Charges,4650
FY20,Public Works,2020,Expense,Other Services and Charges,3750
FY20,Public Works,2020,Expense,Other Services and Charges,4000
FY20,Public Works,2020,Expense,Other Services and Charges,3160
FY20,Public Works,2020,Expense,Other Services and Charges,6632
FY20,Public Works,2020,Expense,Other Services and Charges,1805
FY20,Public Works,2020,Expense,Other Services and Charges,6994
FY20,Public Works,2020,Expense,Other Services and Charges,27000
FY20,Public Works,2020,Expense,Other Services and Charges,45800
FY20,Public Works,2020,Expense,Other Services and Charges,6000
FY20,Public Works,2020,Expense,Other Services and Charges,120050
FY20,Public Works,2020,Expense,Other Services and Charges,428660
FY20,Public Works,2020,Expense,Other Services and Charges,5000
FY20,Public Works,2020,Expense,Other Services and Charges,20083
FY20,Public Works,2020,Expense,Other Services and Charges,24643
FY20,Public Works,2020,Expense,Other Services and Charges,36413
FY20,Public Works,2020,Expense,Other Services and Charges,173190
FY20,Public Works,2020,Expense,Other Services and Charges,130000
FY20,Public Works,2020,Expense,Other Services and Charges,71900
FY20,Public Works,2020,Expense,Other Services and Charges,22700
FY20,Public Works,2020,Expense,Other Services and Charges,130000
FY20,Public Works,2020,Expense,Other Services and Charges,60770
FY20,Public Works,2020,Expense,Other Services and Charges,20770
FY20,Public Works,2020,Expense,Other Services and Charges,20000
FY20,Public Works,2020,Expense,Other Services and Charges,1800
FY20,Public Works,2020,Expense,Other Services and Charges,1132
FY20,Public Works,2020,Expense,Other Services and Charges,1600
FY20,Public Works,2020,Expense,Other Services and Charges,5250
FY20,Public Works,2020,Expense,Other Services and Charges,2000
FY20,Public Works,2020,Expense,Other Services and Charges,38000
FY20,Public Works,2020,Expense,Other Services and Charges,2440
FY20,Public Works,2020,Expense,Capital Outlay,300000
FY20,Public Works,2020,Expense,Capital Outlay,4470000
FY20,,2030,Revenue,Licenses and Permits,25000
FY20,,2030,Revenue,State Grants,2000000
FY20,,2030,Revenue,Charges for Service,15000
FY20,,2030,Revenue,Interest and Rentals,5000
FY20,,2030,Revenue,Other Revenues,5000
FY20,,2030,Revenue,Other Revenues,10000
FY20,Public Works,2030,Expense,Personal Services,185002
FY20,Public Works,2030,Expense,Personal Services,137042
FY20,Public Works,2030,Expense,Personal Services,80001
FY20,Public Works,2030,Expense,Personal Services,10000
FY20,Public Works,2030,Expense,Personal Services,5000
FY20,Public Works,2030,Expense,Personal Services,11250
FY20,Public Works,2030,Expense,Personal Services,1000
FY20,Public Works,2030,Expense,Personal Services,45000
FY20,Public Works,2030,Expense,Personal Services,9581
FY20,Public Works,2030,Expense,Personal Services,11417
FY20,Public Works,2030,Expense,Personal Services,15841
FY20,Public Works,2030,Expense,Personal Services,79390
FY20,Public Works,2030,Expense,Personal Services,53744
FY20,Public Works,2030,Expense,Personal Services,3514
FY20,Public Works,2030,Expense,Personal Services,111
FY20,Public Works,2030,Expense,Personal Services,189
FY20,Public Works,2030,Expense,Personal Services,257
FY20,Public Works,2030,Expense,Personal Services,74109
FY20,Public Works,2030,Expense,Personal Services,47423
FY20,Public Works,2030,Expense,Personal Services,48396
FY20,Public Works,2030,Expense,Personal Services,6861
FY20,Public Works,2030,Expense,Personal Services,9535
FY20,Public Works,2030,Expense,Personal Services,3205
FY20,Public Works,2030,Expense,Personal Services,1876
FY20,Public Works,2030,Expense,Personal Services,6014
FY20,Public Works,2030,Expense,Personal Services,1080
FY20,Public Works,2030,Expense,Personal Services,11772
FY20,Public Works,2030,Expense,Personal Services,6383
FY20,Public Works,2030,Expense,Personal Services,8622
FY20,Public Works,2030,Expense,Personal Services,1187
FY20,Public Works,2030,Expense,Personal Services,5810
FY20,Public Works,2030,Expense,Personal Services,222
FY20,Public Works,2030,Expense,Supplies,87700
FY20,Public Works,2030,Expense,Supplies,500
FY20,Public Works,2030,Expense,Supplies,3500
FY20,Public Works,2030,Expense,Supplies,500
FY20,Public Works,2030,Expense,Supplies,26440
FY20,Public Works,2030,Expense,Supplies,61000
FY20,Public Works,2030,Expense,Other Services and Charges,32000
FY20,Public Works,2030,Expense,Other Services and Charges,106147
FY20,Public Works,2030,Expense,Other Services and Charges,22160
FY20,Public Works,2030,Expense,Other Services and Charges,1988
FY20,Public Works,2030,Expense,Other Services and Charges,1200
FY20,Public Works,2030,Expense,Other Services and Charges,3000
FY20,Public Works,2030,Expense,Other Services and Charges,1000
FY20,Public Works,2030,Expense,Other Services and Charges,2500
FY20,Public Works,2030,Expense,Other Services and Charges,2500
FY20,Public Works,2030,Expense,Other Services and Charges,1761
FY20,Public Works,2030,Expense,Other Services and Charges,3222
FY20,Public Works,2030,Expense,Other Services and Charges,4181
FY20,Public Works,2030,Expense,Other Services and Charges,4000
FY20,Public Works,2030,Expense,Other Services and Charges,200000
FY20,Public Works,2030,Expense,Other Services and Charges,130000
FY20,Public Works,2030,Expense,Other Services and Charges,600
FY20,Public Works,2030,Expense,Other Services and Charges,2000
FY20,Public Works,2030,Expense,Other Services and Charges,13390
FY20,Public Works,2030,Expense,Other Services and Charges,19734
FY20,Public Works,2030,Expense,Other Services and Charges,24944
FY20,Public Works,2030,Expense,Other Services and Charges,80000
FY20,Public Works,2030,Expense,Other Services and Charges,105000
FY20,Public Works,2030,Expense,Other Services and Charges,20000
FY20,Public Works,2030,Expense,Other Services and Charges,5000
FY20,Public Works,2030,Expense,Other Services and Charges,110000
FY20,Public Works,2030,Expense,Other Services and Charges,35000
FY20,Public Works,2030,Expense,Other Services and Charges,12000
FY20,Public Works,2030,Expense,Other Services and Charges,17000
FY20,Public Works,2030,Expense,Other Services and Charges,3000
FY20,Public Works,2030,Expense,Other Services and Charges,700
FY20,Public Works,2030,Expense,Other Services and Charges,800
FY20,Public Works,2030,Expense,Other Services and Charges,2500
FY20,Public Works,2030,Expense,Other Services and Charges,1500
FY20,Public Works,2030,Expense,Other Services and Charges,1000
FY20,,2050,Revenue,Taxes,2683000
FY20,,2050,Revenue,Taxes,-26800
FY20,,2050,Revenue,Taxes,2620
FY20,,2050,Revenue,Taxes,4550
FY20,,2050,Revenue,Taxes,-5900
FY20,,2050,Revenue,Taxes,38100
FY20,,2050,Revenue,Taxes,78100
FY20,,2050,Revenue,Interest and Rentals,13500
FY20,Public Safety,2050,Expense,Transfers Out,2787170
FY20,,2060,Revenue,Taxes,1610000
FY20,,2060,Revenue,Taxes,-16100
FY20,,2060,Revenue,Taxes,1570
FY20,,2060,Revenue,Taxes,2750
FY20,,2060,Revenue,Taxes,-3500
FY20,,2060,Revenue,Taxes,22800
FY20,,2060,Revenue,Taxes,12590
FY20,,2060,Revenue,Interest and Rentals,7750
FY20,Fire,2060,Expense,Transfers Out,1637860
FY20,,2070,Revenue,Taxes,2684000
FY20,,2070,Revenue,Taxes,-26800
FY20,,2070,Revenue,Taxes,2620
FY20,,2070,Revenue,Taxes,4550
FY20,,2070,Revenue,Taxes,-5900
FY20,,2070,Revenue,Taxes,38100
FY20,,2070,Revenue,Taxes,20980
FY20,,2070,Revenue,Interest and Rentals,12900
FY20,Police,2070,Expense,Transfers Out,2730450
FY20,,2080,Revenue,Taxes,3220000
FY20,,2080,Revenue,Taxes,-32200
FY20,,2080,Revenue,Taxes,3140
FY20,,2080,Revenue,Taxes,5450
FY20,,2080,Revenue,Taxes,-7000
FY20,,2080,Revenue,Taxes,45700
FY20,,2080,Revenue,Taxes,25175
FY20,,2080,Revenue,Federal Grants,29294
FY20,,2080,Revenue,Federal Grants,29296
FY20,,2080,Revenue,Federal Grants,146480
FY20,,2080,Revenue,Other Revenues,1000
FY20,,2080,Revenue,Other Revenues,3000
FY20,,2080,Revenue,Charges for Service,74000
FY20,,2080,Revenue,Charges for Service,165681
FY20,,2080,Revenue,Charges for Service,25700
FY20,,2080,Revenue,Charges for Service,33481
FY20,,2080,Revenue,Charges for Service,630
FY20,,2080,Revenue,Charges for Service,190
FY20,,2080,Revenue,Other Revenues,300
FY20,,2080,Revenue,Charges for Service,15425
FY20,,2080,Revenue,Charges for Service,4100
FY20,,2080,Revenue,Interest and Rentals,31400
FY20,,2080,Revenue,Interest and Rentals,8825
FY20,,2080,Revenue,Other Revenues,10860
FY20,,2080,Revenue,Other Revenues,3300
FY20,,2080,Revenue,Other Revenues,111800
FY20,,2080,Revenue,Other Revenues,1000
FY20,Parks and Recreation,2080,Expense,Personal Services,140042
FY20,Parks and Recreation,2080,Expense,Personal Services,217170
FY20,Parks and Recreation,2080,Expense,Personal Services,140946
FY20,Parks and Recreation,2080,Expense,Personal Services,537235
FY20,Parks and Recreation,2080,Expense,Personal Services,6821
FY20,Parks and Recreation,2080,Expense,Personal Services,6821
FY20,Parks and Recreation,2080,Expense,Personal Services,54562
FY20,Parks and Recreation,2080,Expense,Personal Services,185000
FY20,Parks and Recreation,2080,Expense,Personal Services,35290
FY20,Parks and Recreation,2080,Expense,Personal Services,33750
FY20,Parks and Recreation,2080,Expense,Personal Services,36874
FY20,Parks and Recreation,2080,Expense,Personal Services,14610
FY20,Parks and Recreation,2080,Expense,Personal Services,14610
FY20,Parks and Recreation,2080,Expense,Personal Services,800
FY20,Parks and Recreation,2080,Expense,Personal Services,27000
FY20,Parks and Recreation,2080,Expense,Personal Services,600
FY20,Parks and Recreation,2080,Expense,Personal Services,43254
FY20,Parks and Recreation,2080,Expense,Personal Services,25767
FY20,Parks and Recreation,2080,Expense,Personal Services,58072
FY20,Parks and Recreation,2080,Expense,Personal Services,13560
FY20,Parks and Recreation,2080,Expense,Personal Services,11541
FY20,Parks and Recreation,2080,Expense,Personal Services,1649
FY20,Parks and Recreation,2080,Expense,Personal Services,1650
FY20,Parks and Recreation,2080,Expense,Personal Services,7070
FY20,Parks and Recreation,2080,Expense,Personal Services,46815
FY20,Parks and Recreation,2080,Expense,Personal Services,64081
FY20,Parks and Recreation,2080,Expense,Personal Services,183510
FY20,Parks and Recreation,2080,Expense,Personal Services,37395
FY20,Parks and Recreation,2080,Expense,Personal Services,18741
FY20,Parks and Recreation,2080,Expense,Personal Services,2343
FY20,Parks and Recreation,2080,Expense,Personal Services,2343
FY20,Parks and Recreation,2080,Expense,Personal Services,288
FY20,Parks and Recreation,2080,Expense,Personal Services,738
FY20,Parks and Recreation,2080,Expense,Personal Services,195
FY20,Parks and Recreation,2080,Expense,Personal Services,187
FY20,Parks and Recreation,2080,Expense,Personal Services,10
FY20,Parks and Recreation,2080,Expense,Personal Services,10
FY20,Parks and Recreation,2080,Expense,Personal Services,76
FY20,Parks and Recreation,2080,Expense,Personal Services,55267
FY20,Parks and Recreation,2080,Expense,Personal Services,42782
FY20,Parks and Recreation,2080,Expense,Personal Services,209705
FY20,Parks and Recreation,2080,Expense,Personal Services,77312
FY20,Parks and Recreation,2080,Expense,Personal Services,16702
FY20,Parks and Recreation,2080,Expense,Personal Services,2088
FY20,Parks and Recreation,2080,Expense,Personal Services,2088
FY20,Parks and Recreation,2080,Expense,Personal Services,546
FY20,Parks and Recreation,2080,Expense,Personal Services,546
FY20,Parks and Recreation,2080,Expense,Personal Services,2489
FY20,Parks and Recreation,2080,Expense,Personal Services,4365
FY20,Parks and Recreation,2080,Expense,Personal Services,9389
FY20,Parks and Recreation,2080,Expense,Personal Services,11276
FY20,Parks and Recreation,2080,Expense,Personal Services,24678
FY20,Parks and Recreation,2080,Expense,Personal Services,5833
FY20,Parks and Recreation,2080,Expense,Personal Services,6643
FY20,Parks and Recreation,2080,Expense,Personal Services,2333
FY20,Parks and Recreation,2080,Expense,Personal Services,7043
FY20,Parks and Recreation,2080,Expense,Personal Services,1427
FY20,Parks and Recreation,2080,Expense,Personal Services,292
FY20,Parks and Recreation,2080,Expense,Personal Services,292
FY20,Parks and Recreation,2080,Expense,Personal Services,3516
FY20,Parks and Recreation,2080,Expense,Personal Services,26930
FY20,Parks and Recreation,2080,Expense,Personal Services,11416
FY20,Parks and Recreation,2080,Expense,Personal Services,2130
FY20,Parks and Recreation,2080,Expense,Personal Services,347
FY20,Parks and Recreation,2080,Expense,Personal Services,347
FY20,Parks and Recreation,2080,Expense,Personal Services,2770
FY20,Parks and Recreation,2080,Expense,Personal Services,3494
FY20,Parks and Recreation,2080,Expense,Personal Services,3777
FY20,Parks and Recreation,2080,Expense,Personal Services,9894
FY20,Parks and Recreation,2080,Expense,Personal Services,210
FY20,Parks and Recreation,2080,Expense,Personal Services,123
FY20,Parks and Recreation,2080,Expense,Personal Services,123
FY20,Parks and Recreation,2080,Expense,Personal Services,980
FY20,Parks and Recreation,2080,Expense,Personal Services,37890
FY20,Parks and Recreation,2080,Expense,Personal Services,18250
FY20,Parks and Recreation,2080,Expense,Personal Services,9129
FY20,Parks and Recreation,2080,Expense,Personal Services,10870
FY20,Parks and Recreation,2080,Expense,Personal Services,14152
FY20,Parks and Recreation,2080,Expense,Supplies,3080
FY20,Parks and Recreation,2080,Expense,Supplies,2310
FY20,Parks and Recreation,2080,Expense,Supplies,8245
FY20,Parks and Recreation,2080,Expense,Supplies,670
FY20,Parks and Recreation,2080,Expense,Supplies,26307
FY20,Parks and Recreation,2080,Expense,Supplies,3500
FY20,Parks and Recreation,2080,Expense,Supplies,900
FY20,Parks and Recreation,2080,Expense,Supplies,72450
FY20,Parks and Recreation,2080,Expense,Supplies,7560
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,28750
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,7200
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,337909
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,1460
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,8970
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,1440
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,1344
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,1000
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,240
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,700
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,660
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,2620
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,1800
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,290
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,2360
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,3357
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,5190
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,1816
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,9900
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,1000
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,7035
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,24340
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,2967
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,6279
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,15825
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,3878
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,2012
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,472
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,472
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,230
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,1130
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,129600
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,33700
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,2100
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,67250
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,27670
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,500
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,30890
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,41400
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,180000
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,6720
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,650
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,55000
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,30000
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,1700
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,41050
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,18289
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,2650
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,12210
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,5180
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,12315
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,1200
FY20,Parks and Recreation,2080,Expense,Other Services and Charges,5000
FY20,Parks and Recreation,2080,Expense,Capital Outlay,15280
FY20,Parks and Recreation,2080,Expense,Capital Outlay,4440
FY20,Parks and Recreation,2080,Expense,Capital Outlay,10000
FY20,,2110,Revenue,Taxes,321000
FY20,,2110,Revenue,Taxes,-3200
FY20,,2110,Revenue,Taxes,420
FY20,,2110,Revenue,Taxes,540
FY20,,2110,Revenue,Taxes,-700
FY20,,2110,Revenue,Taxes,4500
FY20,,2110,Revenue,Taxes,3360
FY20,,2110,Revenue,Interest and Rentals,6900
FY20,Public Works,2110,Expense,Personal Services,25000
FY20,Public Works,2110,Expense,Personal Services,1000
FY20,Public Works,2110,Expense,Personal Services,2000
FY20,Public Works,2110,Expense,Personal Services,2142
FY20,Public Works,2110,Expense,Personal Services,35
FY20,Public Works,2110,Expense,Personal Services,9822
FY20,Public Works,2110,Expense,Personal Services,1330
FY20,Public Works,2110,Expense,Personal Services,207
FY20,Public Works,2110,Expense,Personal Services,1583
FY20,Public Works,2110,Expense,Supplies,4000
FY20,Public Works,2110,Expense,Other Services and Charges,26560
FY20,Public Works,2110,Expense,Other Services and Charges,572
FY20,Public Works,2110,Expense,Other Services and Charges,330000
FY20,Public Works,2110,Expense,Other Services and Charges,31500
FY20,Public Works,2110,Expense,Other Services and Charges,6000
FY20,Public Works,2110,Expense,Other Services and Charges,4000
FY20,Public Works,2110,Expense,Other Services and Charges,1000
FY20,,2300,Revenue,Taxes,866000
FY20,,2300,Revenue,Taxes,-8700
FY20,,2300,Revenue,Taxes,740
FY20,,2300,Revenue,Taxes,1450
FY20,,2300,Revenue,Taxes,-1900
FY20,,2300,Revenue,Taxes,12200
FY20,,2300,Revenue,Taxes,17875
FY20,,2300,Revenue,Interest and Rentals,11700
FY20,,2300,Revenue,Interest and Rentals,5000
FY20,Public Works,2300,Expense,Personal Services,128693
FY20,Public Works,2300,Expense,Personal Services,37000
FY20,Public Works,2300,Expense,Personal Services,36900
FY20,Public Works,2300,Expense,Personal Services,15500
FY20,Public Works,2300,Expense,Personal Services,10935
FY20,Public Works,2300,Expense,Personal Services,177
FY20,Public Works,2300,Expense,Personal Services,63263
FY20,Public Works,2300,Expense,Personal Services,5074
FY20,Public Works,2300,Expense,Personal Services,1193
FY20,Public Works,2300,Expense,Personal Services,10337
FY20,Public Works,2300,Expense,Personal Services,779
FY20,Public Works,2300,Expense,Personal Services,2162
FY20,Public Works,2300,Expense,Personal Services,800
FY20,Public Works,2300,Expense,Supplies,600
FY20,Public Works,2300,Expense,Supplies,2500
FY20,Public Works,2300,Expense,Other Services and Charges,54945
FY20,Public Works,2300,Expense,Other Services and Charges,5800
FY20,Public Works,2300,Expense,Other Services and Charges,1500
FY20,Public Works,2300,Expense,Other Services and Charges,300
FY20,Public Works,2300,Expense,Other Services and Charges,3628
FY20,Public Works,2300,Expense,Other Services and Charges,1000
FY20,Public Works,2300,Expense,Other Services and Charges,6300
FY20,Public Works,2300,Expense,Other Services and Charges,2500
FY20,Public Works,2300,Expense,Other Services and Charges,81450
FY20,Public Works,2300,Expense,Other Services and Charges,40350
FY20,Public Works,2300,Expense,Other Services and Charges,13350
FY20,Public Works,2300,Expense,Other Services and Charges,60
FY20,Public Works,2300,Expense,Other Services and Charges,410200
FY20,Public Works,2300,Expense,Capital Outlay,50000
FY20,,2490,Revenue,Licenses and Permits,11500
FY20,,2490,Revenue,Licenses and Permits,309714
FY20,,2490,Revenue,Licenses and Permits,714600
FY20,,2490,Revenue,Licenses and Permits,151800
FY20,,2490,Revenue,Licenses and Permits,17000
FY20,,2490,Revenue,Licenses and Permits,142780
FY20,,2490,Revenue,Licenses and Permits,5040
FY20,,2490,Revenue,Licenses and Permits,68556
FY20,,2490,Revenue,Licenses and Permits,15080
FY20,,2490,Revenue,Licenses and Permits,18871
FY20,,2490,Revenue,Federal Grants,55000
FY20,,2490,Revenue,Charges for Service,10000
FY20,,2490,Revenue,Charges for Service,12510
FY20,,2490,Revenue,Charges for Service,15000
FY20,,2490,Revenue,Fines and Forfeitures,15200
FY20,,2490,Revenue,Charges for Service,25000
FY20,,2490,Revenue,Interest and Rentals,5000
FY20,,2490,Revenue,Other Revenues,11000
FY20,Permits,2490,Expense,Personal Services,107888
FY20,Permits,2490,Expense,Personal Services,64820
FY20,Permits,2490,Expense,Personal Services,124251
FY20,Permits,2490,Expense,Personal Services,45608
FY20,Permits,2490,Expense,Personal Services,379797
FY20,Permits,2490,Expense,Personal Services,5000
FY20,Permits,2490,Expense,Personal Services,2500
FY20,Permits,2490,Expense,Personal Services,2000
FY20,Permits,2490,Expense,Personal Services,20000
FY20,Permits,2490,Expense,Personal Services,350
FY20,Permits,2490,Expense,Personal Services,5400
FY20,Permits,2490,Expense,Personal Services,1400
FY20,Permits,2490,Expense,Personal Services,9037
FY20,Permits,2490,Expense,Personal Services,5003
FY20,Permits,2490,Expense,Personal Services,9735
FY20,Permits,2490,Expense,Personal Services,3938
FY20,Permits,2490,Expense,Personal Services,30956
FY20,Permits,2490,Expense,Personal Services,91396
FY20,Permits,2490,Expense,Personal Services,10421
FY20,Permits,2490,Expense,Personal Services,42617
FY20,Permits,2490,Expense,Personal Services,17178
FY20,Permits,2490,Expense,Personal Services,34063
FY20,Permits,2490,Expense,Personal Services,516
FY20,Permits,2490,Expense,Personal Services,147
FY20,Permits,2490,Expense,Personal Services,90
FY20,Permits,2490,Expense,Personal Services,169
FY20,Permits,2490,Expense,Personal Services,61
FY20,Permits,2490,Expense,Personal Services,15066
FY20,Permits,2490,Expense,Personal Services,31963
FY20,Permits,2490,Expense,Personal Services,14283
FY20,Permits,2490,Expense,Personal Services,30246
FY20,Permits,2490,Expense,Personal Services,106006
FY20,Permits,2490,Expense,Personal Services,5053
FY20,Permits,2490,Expense,Personal Services,5010
FY20,Permits,2490,Expense,Personal Services,6449
FY20,Permits,2490,Expense,Personal Services,589
FY20,Permits,2490,Expense,Personal Services,15926
FY20,Permits,2490,Expense,Personal Services,5896
FY20,Permits,2490,Expense,Personal Services,234
FY20,Permits,2490,Expense,Personal Services,1113
FY20,Permits,2490,Expense,Personal Services,2548
FY20,Permits,2490,Expense,Personal Services,1119
FY20,Permits,2490,Expense,Personal Services,5017
FY20,Permits,2490,Expense,Personal Services,610
FY20,Permits,2490,Expense,Personal Services,1545
FY20,Permits,2490,Expense,Personal Services,857
FY20,Permits,2490,Expense,Personal Services,1458
FY20,Permits,2490,Expense,Personal Services,4946
FY20,Permits,2490,Expense,Personal Services,1752
FY20,Permits,2490,Expense,Personal Services,559
FY20,Permits,2490,Expense,Personal Services,1271
FY20,Permits,2490,Expense,Personal Services,803
FY20,Permits,2490,Expense,Supplies,5423
FY20,Permits,2490,Expense,Supplies,500
FY20,Permits,2490,Expense,Supplies,2155
FY20,Permits,2490,Expense,Supplies,1127
FY20,Permits,2490,Expense,Supplies,1825
FY20,Permits,2490,Expense,Supplies,376
FY20,Permits,2490,Expense,Supplies,787
FY20,Permits,2490,Expense,Supplies,2100
FY20,Permits,2490,Expense,Other Services and Charges,500
FY20,Permits,2490,Expense,Other Services and Charges,21648
FY20,Permits,2490,Expense,Other Services and Charges,21648
FY20,Permits,2490,Expense,Other Services and Charges,21648
FY20,Permits,2490,Expense,Other Services and Charges,21648
FY20,Permits,2490,Expense,Other Services and Charges,8019
FY20,Permits,2490,Expense,Other Services and Charges,2725
FY20,Permits,2490,Expense,Other Services and Charges,1362
FY20,Permits,2490,Expense,Other Services and Charges,3026
FY20,Permits,2490,Expense,Other Services and Charges,10920
FY20,Permits,2490,Expense,Other Services and Charges,10920
FY20,Permits,2490,Expense,Other Services and Charges,7000
FY20,Permits,2490,Expense,Other Services and Charges,3232
FY20,Permits,2490,Expense,Other Services and Charges,928
FY20,Permits,2490,Expense,Other Services and Charges,300
FY20,Permits,2490,Expense,Other Services and Charges,1095
FY20,Permits,2490,Expense,Other Services and Charges,270
FY20,Permits,2490,Expense,Other Services and Charges,2300
FY20,Permits,2490,Expense,Other Services and Charges,3700
FY20,Permits,2490,Expense,Other Services and Charges,7000
FY20,Permits,2490,Expense,Other Services and Charges,2477
FY20,Permits,2490,Expense,Other Services and Charges,1423
FY20,Permits,2490,Expense,Other Services and Charges,2699
FY20,Permits,2490,Expense,Other Services and Charges,1093
FY20,Permits,2490,Expense,Other Services and Charges,8221
FY20,Permits,2490,Expense,Other Services and Charges,10
FY20,Permits,2490,Expense,Other Services and Charges,10
